SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks
XP_004848732.1,ENSRNOP00000064338,60.12,72.4,0.3131,0.532,0.58854
XP_004862097.1,ENSRNOP00000053987,60.27,72.62,0.3061,0.5212,0.58733
XP_004860172.1,ENSRNOP00000047375,40.61,58.09,0.5997,1.0213,0.58722
XP_004856517.1,ENSRNOP00000046662,56.83,72.31,0.3122,0.5316,0.58715
XP_004835747.1,ENSRNOP00000056377,60.83,73.61,0.2978,0.5085,0.58565
XP_004840812.1,ENSRNOP00000033476,53.86,66.67,0.4054,0.694,0.58417
XP_004860552.1,ENSRNOP00000036990,63.68,77.04,0.2389,0.4094,0.58364
XP_004874658.1,ENSRNOP00000000177,70.27,79.28,0.216,0.3727,0.57963
XP_004862234.1,ENSRNOP00000032707,57.71,72.25,0.3131,0.5427,0.57691
XP_004853753.1,ENSRNOP00000024036,67.74,82.03,0.1911,0.3315,0.57651
XP_004871520.1,ENSRNOP00000027850,52.96,65.65,0.4671,0.8192,0.57015
XP_004838786.1,ENSRNOP00000038727,44.44,62.78,0.5162,0.906,0.56971
XP_004858718.1,ENSRNOP00000004662,55.45,68.65,0.4167,0.7386,0.5642
XP_004868088.1,ENSRNOP00000053828,42.96,58.79,0.5408,0.9625,0.56188
XP_004862334.1,ENSRNOP00000038671,43.32,55.87,0.6076,1.0894,0.55774
XP_004875521.1,ENSRNOP00000066239,54.33,70.98,0.3476,0.6242,0.55687
XP_004841145.1,ENSRNOP00000019545,49.61,63.39,0.4489,0.8083,0.55541
XP_004868449.1,ENSRNOP00000034920,53.36,69.58,0.3712,0.6684,0.55541
XP_004855199.1,ENSRNOP00000037640,65.24,74.89,0.264,0.4754,0.55528
XP_004853772.1,ENSRNOP00000048012,67.3,76.52,0.245,0.4432,0.55273
XP_004851845.1,ENSRNOP00000019061,56.46,69.17,0.3666,0.6636,0.55253
XP_004858466.1,ENSRNOP00000043873,56.86,70.52,0.3388,0.614,0.55175
XP_004856007.1,ENSRNOP00000041446,58.88,73.96,0.2904,0.5273,0.55076
XP_004848522.1,ENSRNOP00000041009,57.01,68.85,0.3712,0.6752,0.54981
XP_004867761.1,ENSRNOP00000032292,57.34,72.84,0.301,0.5475,0.5497
XP_004868339.1,ENSRNOP00000058080,43.77,63.53,0.4924,0.8969,0.54896
XP_004866361.1,ENSRNOP00000033031,49.77,63.41,0.5486,0.9994,0.54894
XP_004841581.1,ENSRNOP00000012947,61.71,76.76,0.2601,0.4749,0.54785
XP_004848131.1,ENSRNOP00000055378,59.15,71.76,0.3144,0.5746,0.54714
XP_004835791.1,ENSRNOP00000050172,57.3,69.75,0.3409,0.6255,0.54493
XP_004863089.1,ENSRNOP00000039147,63.78,74.3,0.272,0.5003,0.54371
XP_004840880.1,ENSRNOP00000009743,67.33,77.56,0.2303,0.4237,0.54354
XP_004838845.1,ENSRNOP00000051820,60.73,72.12,0.3125,0.5751,0.54338
XP_004860464.1,ENSRNOP00000011327,54.41,68.07,0.3772,0.6945,0.54317
XP_004834080.1,ENSRNOP00000065793,58.46,72.6,0.303,0.5586,0.54248
XP_004840269.1,ENSRNOP00000035136,45.36,61.15,0.5006,0.9235,0.54204
XP_004842102.1,ENSRNOP00000058754,60.75,74.45,0.2765,0.5101,0.54201
XP_004868102.1,ENSRNOP00000023581,44.33,54.98,0.6551,1.2104,0.54125
XP_004862017.1,ENSRNOP00000055000,45.56,57.4,0.5588,1.033,0.54094
XP_004834586.1,ENSRNOP00000012832,57.67,71.01,0.3297,0.6099,0.54051
XP_004870185.1,ENSRNOP00000031403,28.63,45.74,0.9346,1.73,0.54024
XP_004871529.1,ENSRNOP00000016286,45.97,62.09,0.4785,0.8883,0.53862
XP_004869786.1,ENSRNOP00000065204,48.67,66.33,0.4095,0.7613,0.53782
XP_004864933.1,ENSRNOP00000032259,52.42,66.5,0.4321,0.8036,0.53769
XP_004853542.1,ENSRNOP00000003618,50,64.36,0.4281,0.804,0.53248
XP_004874021.1,ENSRNOP00000000334,67.55,75.18,0.262,0.4922,0.53231
XP_004858762.1,ENSRNOP00000029446,59.29,72.57,0.2987,0.5613,0.53212
XP_004854964.1,ENSRNOP00000049772,56.04,69.25,0.3492,0.6567,0.53169
XP_004857547.1,ENSRNOP00000007447,67.28,76.85,0.2358,0.4437,0.53149
XP_004842008.1,ENSRNOP00000008656,63.03,73.13,0.2898,0.5463,0.53052
XP_004857380.1,ENSRNOP00000053459,60.27,74.7,0.2667,0.5045,0.52855
XP_004859014.1,ENSRNOP00000044396,64.9,76.01,0.2512,0.476,0.52759
XP_004859188.1,ENSRNOP00000035388,42.77,60.94,0.5049,0.9576,0.52729
XP_004842105.1,ENSRNOP00000008680,66.67,77.65,0.2224,0.4217,0.52724
XP_004847126.1,ENSRNOP00000049009,54.07,66.29,0.3948,0.7513,0.52556
XP_004873127.1,ENSRNOP00000066538,64.63,74.93,0.2616,0.5007,0.52253
XP_004835023.1,ENSRNOP00000053011,56.93,70.15,0.341,0.6532,0.52203
XP_004852294.1,ENSRNOP00000038539,61.78,70.86,0.3341,0.6402,0.52185
XP_004838527.1,ENSRNOP00000032992,50.63,63.13,0.4701,0.901,0.5217
XP_004873686.1,ENSRNOP00000033812,60.99,72.59,0.2992,0.5757,0.51966
XP_004844114.1,ENSRNOP00000004931,55.03,68.69,0.3597,0.6923,0.51958
XP_004861493.1,ENSRNOP00000065024,65.85,77.7,0.2349,0.4521,0.51941
XP_004859186.1,ENSRNOP00000038176,45.87,62.79,0.4661,0.8996,0.51808
XP_004840635.1,ENSRNOP00000049815,65.83,75.1,0.2546,0.4961,0.51313
XP_004853204.1,ENSRNOP00000065843,42.86,54.85,0.6367,1.2434,0.51206
XP_004837469.1,ENSRNOP00000008416,57.82,74.17,0.2913,0.5693,0.51172
XP_004867034.1,ENSRNOP00000048451,49.47,62.57,0.4775,0.9337,0.51137
XP_004860598.1,ENSRNOP00000037528,54.74,67.05,0.3898,0.7625,0.51115
XP_004841982.1,ENSRNOP00000034245,41.13,56.99,0.589,1.1524,0.51114
XP_004862742.1,ENSRNOP00000013989,50.22,63.9,0.4285,0.839,0.51078
XP_004853717.1,ENSRNOP00000025221,65.85,77.17,0.2312,0.4527,0.51068
XP_004869580.1,ENSRNOP00000012216,59.01,70.82,0.3199,0.6274,0.50992
XP_004868576.1,ENSRNOP00000040906,43.94,59.24,0.5237,1.0287,0.50913
XP_004845940.1,ENSRNOP00000056630,57.02,70.5,0.3256,0.6408,0.50809
XP_004838309.1,ENSRNOP00000051645,72.41,78.74,0.2119,0.4182,0.5066
XP_004850128.1,ENSRNOP00000008135,51.8,68.98,0.3749,0.7434,0.50436
XP_004841701.1,ENSRNOP00000045935,56.03,70.3,0.34,0.675,0.50367
XP_004835225.1,ENSRNOP00000013111,52.3,69.19,0.3668,0.7295,0.50282
XP_004848421.1,ENSRNOP00000038312,51.36,66.35,0.39,0.7765,0.50222
XP_004873132.1,ENSRNOP00000027202,47.23,61.84,0.4627,0.9225,0.50155
XP_004834985.1,ENSRNOP00000038456,56.16,69.38,0.3449,0.6879,0.5014
XP_004855913.1,ENSRNOP00000034356,61.33,73.3,0.2809,0.5613,0.50048
XP_004863983.1,ENSRNOP00000052371,55.91,65.35,0.4006,0.8019,0.49955
XP_004846138.1,ENSRNOP00000022884,68.22,78.46,0.2118,0.4252,0.49802
XP_004871725.1,ENSRNOP00000037361,45.43,62.86,0.4876,0.9795,0.49781
XP_004845928.1,ENSRNOP00000029997,57.11,70.02,0.322,0.6471,0.49763
XP_004859341.1,ENSRNOP00000028109,49.51,65.83,0.4035,0.8148,0.49521
XP_004867226.1,ENSRNOP00000037815,34.98,54.25,0.6579,1.3317,0.49407
XP_004864074.1,ENSRNOP00000017048,59.84,72.97,0.2843,0.5763,0.49342
XP_004862028.1,ENSRNOP00000054956,53.17,67.88,0.3691,0.7489,0.49288
XP_004853869.1,ENSRNOP00000021268,52.94,66.47,0.3883,0.7879,0.49286
XP_004842367.1,ENSRNOP00000002779,57.93,69.92,0.3322,0.6747,0.49246
XP_004873180.1,ENSRNOP00000026060,50.35,65.09,0.4242,0.862,0.49209
XP_004841427.1,ENSRNOP00000021861,63.76,75.47,0.2497,0.5073,0.49207
XP_004856749.1,ENSRNOP00000007588,60,72.27,0.3005,0.6114,0.49145
XP_004850672.1,ENSRNOP00000032347,60.55,73.6,0.2754,0.5605,0.49138
XP_004848684.1,ENSRNOP00000023422,62.14,74.4,0.2709,0.5519,0.49088
XP_004863273.1,ENSRNOP00000032018,68.45,77.71,0.2205,0.45,0.49007
XP_004852103.1,ENSRNOP00000009552,52.87,61.95,0.4611,0.9428,0.48912
XP_004841291.1,ENSRNOP00000015836,55.75,68.99,0.3446,0.7051,0.48873
XP_004862859.1,ENSRNOP00000034180,65,75.65,0.2483,0.5085,0.48824
XP_004851211.1,ENSRNOP00000017281,65.54,77.12,0.2337,0.4797,0.48718
XP_004870675.1,ENSRNOP00000009756,57.73,73.88,0.2931,0.6017,0.48715
XP_004842863.1,ENSRNOP00000014997,78.48,86.5,0.122,0.2509,0.48634
XP_004855514.1,ENSRNOP00000032440,51.91,69.6,0.3671,0.7552,0.48613
XP_004848928.1,ENSRNOP00000047057,48.88,67.6,0.4127,0.8506,0.48519
XP_004921266.1,ENSRNOP00000013553,59.06,70.47,0.3131,0.6459,0.48475
XP_004856587.1,ENSRNOP00000055863,62.11,68.94,0.3426,0.7071,0.48449
XP_004870216.1,ENSRNOP00000057186,51.81,65.74,0.4075,0.8437,0.48302
XP_004865330.1,ENSRNOP00000060363,62.08,75.91,0.2633,0.5459,0.4824
XP_004847930.1,ENSRNOP00000030214,54.9,69.67,0.3665,0.76,0.48222
XP_004854281.1,ENSRNOP00000008403,67.55,77.4,0.2293,0.477,0.48067
XP_004856700.1,ENSRNOP00000067045,56,70.67,0.3305,0.688,0.48038
XP_004872885.1,ENSRNOP00000025129,61.33,72.44,0.3259,0.6796,0.47951
XP_004852625.1,ENSRNOP00000028785,68.12,78.29,0.217,0.4532,0.47871
XP_004855435.1,ENSRNOP00000067013,55.97,67.3,0.3531,0.7382,0.4784
XP_004853194.1,ENSRNOP00000031359,71.79,80.1,0.1869,0.3922,0.47666
XP_004868003.1,ENSRNOP00000018581,67.19,75.76,0.2507,0.526,0.47663
XP_004842844.1,ENSRNOP00000018795,57.86,70.44,0.3223,0.6768,0.47619
XP_004856207.1,ENSRNOP00000051894,51.06,62.5,0.4546,0.9565,0.47525
XP_004837553.1,ENSRNOP00000030883,54.65,65.89,0.3976,0.8378,0.4746
XP_004853157.1,ENSRNOP00000035076,56.51,70.78,0.3146,0.6631,0.47438
XP_004835845.1,ENSRNOP00000002443,63.65,74.05,0.2636,0.5558,0.4743
XP_004840267.1,ENSRNOP00000067164,54.9,69.02,0.3589,0.7569,0.47415
XP_004865190.1,ENSRNOP00000057279,55.56,71.46,0.3243,0.6845,0.47376
XP_004869721.1,ENSRNOP00000038374,64.33,74.29,0.2645,0.5585,0.47351
XP_004839163.1,ENSRNOP00000066150,67.57,76.58,0.2286,0.483,0.47328
XP_004857364.1,ENSRNOP00000026601,47.2,58.67,0.5366,1.1351,0.47272
XP_004856571.1,ENSRNOP00000034604,56.3,70.74,0.3241,0.6858,0.47257
XP_004871136.1,ENSRNOP00000039739,68.22,76.48,0.2352,0.4987,0.47151
XP_004874569.1,ENSRNOP00000051521,55.75,68.77,0.3665,0.7774,0.47146
XP_004870137.1,ENSRNOP00000067197,66.43,77.62,0.2208,0.469,0.47094
XP_004854564.1,ENSRNOP00000045755,58.68,69.74,0.3419,0.7269,0.47034
XP_004848645.1,ENSRNOP00000039644,56.64,69.7,0.3302,0.7021,0.47029
XP_004843061.1,ENSRNOP00000029297,65.18,75.37,0.245,0.5211,0.47026
XP_004864586.1,ENSRNOP00000026753,59.2,72.99,0.2887,0.6139,0.47022
XP_004863290.1,ENSRNOP00000024420,65.55,76.48,0.2302,0.4903,0.46963
XP_004862348.1,ENSRNOP00000032079,61.03,73.07,0.2854,0.608,0.46946
XP_004854702.1,ENSRNOP00000036118,53.39,66.83,0.3663,0.7811,0.46903
XP_004873660.1,ENSRNOP00000034974,57.16,69.08,0.3407,0.7271,0.4686
XP_004854994.1,ENSRNOP00000023348,60.96,75.11,0.257,0.5495,0.46778
XP_004865089.1,ENSRNOP00000057264,73.53,81.21,0.1784,0.3818,0.46722
XP_004858299.1,ENSRNOP00000021143,80.28,85.47,0.1256,0.2688,0.46719
XP_004856739.1,ENSRNOP00000021926,53.35,67.37,0.3771,0.8073,0.46703
XP_004845538.1,ENSRNOP00000011316,79.44,84.74,0.1364,0.2921,0.46697
XP_004855961.1,ENSRNOP00000065085,67.5,78.13,0.2227,0.4776,0.46637
XP_004845523.1,ENSRNOP00000030943,35,53.15,0.6951,1.4912,0.46612
XP_004864031.1,ENSRNOP00000066015,79.84,85.75,0.1279,0.2744,0.46608
XP_004871060.1,ENSRNOP00000005981,65.53,78.06,0.2215,0.4753,0.46597
XP_004849996.1,ENSRNOP00000043929,57.97,72.71,0.293,0.6294,0.46559
XP_004875150.1,ENSRNOP00000067698,55.44,72.02,0.3308,0.7112,0.46516
XP_004871113.1,ENSRNOP00000022880,61.99,73.63,0.2795,0.6032,0.46333
XP_004871783.1,ENSRNOP00000044916,63.27,76.29,0.2455,0.53,0.46328
XP_004861541.1,ENSRNOP00000047702,74.64,79.95,0.1902,0.4107,0.46316
XP_004852736.1,ENSRNOP00000018463,62.4,72.52,0.2848,0.615,0.46298
XP_004858984.1,ENSRNOP00000028442,38.96,54.98,0.6046,1.3083,0.46212
XP_004867090.1,ENSRNOP00000060238,49.82,63.72,0.4368,0.9468,0.46136
XP_004856374.1,ENSRNOP00000016991,48.96,57.95,0.5328,1.1572,0.46044
XP_004852499.1,ENSRNOP00000028527,56.98,70.19,0.3529,0.7669,0.4601
XP_004849562.1,ENSRNOP00000010515,58.29,70.63,0.3225,0.7048,0.4576
XP_004837563.1,ENSRNOP00000040735,59.16,74.23,0.2789,0.6098,0.4574
XP_004867840.1,ENSRNOP00000049523,51.67,67.43,0.3942,0.8619,0.45739
XP_004856755.1,ENSRNOP00000021390,67.58,79.49,0.2012,0.4401,0.45731
XP_004861792.1,ENSRNOP00000015528,61.27,75.38,0.2666,0.5833,0.45704
XP_004860490.1,ENSRNOP00000040855,56.2,68.83,0.343,0.7511,0.45671
XP_004869645.1,ENSRNOP00000046380,51.58,63.97,0.4104,0.9003,0.45582
XP_004848626.1,ENSRNOP00000044119,69.1,78.66,0.2061,0.4529,0.45517
XP_004854821.1,ENSRNOP00000001475,56.86,72.27,0.3097,0.6813,0.45455
XP_004873000.1,ENSRNOP00000042975,70.85,80.16,0.1847,0.4067,0.45431
XP_004855220.1,ENSRNOP00000065920,57.96,68.84,0.3456,0.7609,0.45423
XP_004838168.1,ENSRNOP00000041988,54.88,67.8,0.3647,0.8035,0.45384
XP_004861143.1,ENSRNOP00000009776,65.17,76.22,0.2481,0.5467,0.45384
XP_004852349.1,ENSRNOP00000035800,60.49,73.23,0.2757,0.6095,0.45228
XP_004851365.1,ENSRNOP00000034438,70,80,0.1941,0.4297,0.45174
XP_004836655.1,ENSRNOP00000066767,61.4,71.05,0.3102,0.687,0.45154
XP_004834010.1,ENSRNOP00000028031,59.81,74.45,0.2615,0.5806,0.45047
XP_004855989.1,ENSRNOP00000023262,65.55,74.93,0.248,0.5521,0.44925
XP_004853371.1,ENSRNOP00000048534,43.11,60.54,0.5542,1.2388,0.44735
XP_004921223.1,ENSRNOP00000049813,74.02,82.21,0.1708,0.3819,0.44734
XP_004834918.1,ENSRNOP00000067269,76.88,82.6,0.1503,0.3367,0.44654
XP_004845873.1,ENSRNOP00000010157,62.37,72.32,0.2838,0.6364,0.44597
XP_004873977.1,ENSRNOP00000013903,70.9,77.44,0.2101,0.4712,0.44588
XP_004871290.1,ENSRNOP00000025314,54.74,68.21,0.3954,0.8873,0.4456
XP_004853680.1,ENSRNOP00000052733,70.99,77.37,0.2101,0.4718,0.44537
XP_004850087.1,ENSRNOP00000060034,63.41,74.37,0.2649,0.5953,0.44496
XP_004851517.1,ENSRNOP00000019199,69.57,79.13,0.2048,0.4603,0.44496
XP_004864207.1,ENSRNOP00000038507,73.21,80.8,0.1755,0.3949,0.44454
XP_004871583.1,ENSRNOP00000016354,62.01,74.24,0.2561,0.5791,0.44227
XP_004872612.1,ENSRNOP00000050228,56.41,73.46,0.2931,0.663,0.4421
XP_004835643.1,ENSRNOP00000055960,64.19,73.28,0.2697,0.6103,0.44185
XP_004854170.1,ENSRNOP00000028260,66.81,76.84,0.2258,0.5112,0.44164
XP_004862209.1,ENSRNOP00000034252,63.32,73.46,0.2633,0.5977,0.44053
XP_004841897.1,ENSRNOP00000067313,62.5,66.36,0.3716,0.8435,0.44052
XP_004842191.1,ENSRNOP00000009758,65.93,74.13,0.2599,0.5902,0.44029
XP_004846663.1,ENSRNOP00000043394,48.53,66.56,0.382,0.869,0.43961
XP_004858088.1,ENSRNOP00000051984,63.92,74.17,0.2672,0.6082,0.43932
XP_004855962.1,ENSRNOP00000064370,63.88,74.2,0.2568,0.5846,0.43928
XP_004852700.1,ENSRNOP00000013551,68.53,77.56,0.2149,0.4893,0.43921
XP_004874520.1,ENSRNOP00000051485,66.49,75.26,0.2374,0.5406,0.43915
XP_004856194.1,ENSRNOP00000050996,75,80.72,0.1754,0.3996,0.43893
XP_004869212.1,ENSRNOP00000023366,10.84,31.73,2.1565,4.9148,0.43877
XP_004834512.1,ENSRNOP00000018629,63.52,75.1,0.2463,0.5622,0.43802
XP_004844626.1,ENSRNOP00000009516,47.41,63.07,0.4566,1.0434,0.43762
XP_004847310.1,ENSRNOP00000004231,55.67,70.56,0.3203,0.7323,0.43741
XP_004866998.1,ENSRNOP00000030009,34.52,50.8,0.8041,1.8397,0.4371
XP_004861777.1,ENSRNOP00000022964,57.63,67.04,0.3762,0.8619,0.4365
XP_004862492.1,ENSRNOP00000026407,73.91,77.78,0.2104,0.4834,0.43523
XP_004921183.1,ENSRNOP00000033626,60.24,72.85,0.2791,0.6422,0.43461
XP_004844356.1,ENSRNOP00000055096,44.89,55.81,0.582,1.34,0.43436
XP_004857354.1,ENSRNOP00000053510,59.76,68.41,0.3375,0.7788,0.43338
XP_004848728.1,ENSRNOP00000036954,55.84,69.91,0.3272,0.755,0.43336
XP_004834879.1,ENSRNOP00000055278,57.33,69.87,0.3265,0.7535,0.43322
XP_004856160.1,ENSRNOP00000042438,60.37,71.65,0.3104,0.7173,0.43268
XP_004842112.1,ENSRNOP00000043160,68.27,77.66,0.2174,0.5026,0.43257
XP_004870282.1,ENSRNOP00000064514,60.01,71.23,0.3124,0.7223,0.43247
XP_004849614.1,ENSRNOP00000019379,75.18,81.09,0.1779,0.4122,0.43161
XP_004858424.1,ENSRNOP00000025928,47.06,62.23,0.4589,1.0644,0.43115
XP_004867768.1,ENSRNOP00000027480,61.62,72.41,0.2835,0.6589,0.43024
XP_004867878.1,ENSRNOP00000008255,65.22,74.59,0.2518,0.5878,0.42842
XP_004836128.1,ENSRNOP00000066125,66.27,73.54,0.2672,0.6237,0.42837
XP_004836201.1,ENSRNOP00000059197,63,73.42,0.27,0.6312,0.42773
XP_004870508.1,ENSRNOP00000014537,65.58,74.94,0.2487,0.5822,0.42717
XP_004838387.1,ENSRNOP00000031813,65.54,76.92,0.2297,0.5378,0.42705
XP_004845975.1,ENSRNOP00000052551,62.5,74.26,0.2605,0.6099,0.42705
XP_004865202.1,ENSRNOP00000004183,68.53,77.16,0.2146,0.5035,0.42625
XP_004856233.1,ENSRNOP00000051884,69.88,75.61,0.2334,0.5477,0.42624
XP_004870734.1,ENSRNOP00000035290,71.17,80.33,0.1823,0.4281,0.42575
XP_004866319.1,ENSRNOP00000029131,64.17,71.19,0.295,0.6948,0.42455
XP_004865049.1,ENSRNOP00000031392,59.6,70.64,0.306,0.721,0.4244
XP_004852758.1,ENSRNOP00000018639,60.74,73.28,0.2893,0.682,0.42411
XP_004848097.1,ENSRNOP00000003649,66.67,74.65,0.2576,0.6082,0.42345
XP_004851354.1,ENSRNOP00000038017,59.51,67.28,0.3548,0.84,0.42235
XP_004836670.1,ENSRNOP00000010729,62.12,72.73,0.2885,0.6832,0.4223
XP_004862401.1,ENSRNOP00000067157,65.36,69.36,0.3244,0.7682,0.4223
XP_004858361.1,ENSRNOP00000000753,49.18,65.03,0.4107,0.9726,0.42225
XP_004868059.1,ENSRNOP00000021373,61.04,69.51,0.3234,0.766,0.42224
XP_004862887.1,ENSRNOP00000032975,59.54,69.94,0.3281,0.7774,0.42205
XP_004844587.1,ENSRNOP00000006308,70.3,80.45,0.1841,0.4363,0.42197
XP_004843047.1,ENSRNOP00000026809,70.35,78.71,0.1974,0.4678,0.42184
XP_004847635.1,ENSRNOP00000061056,62.5,73.2,0.2735,0.649,0.42134
XP_004861532.1,ENSRNOP00000053882,67.78,77.85,0.2097,0.4993,0.41996
XP_004872204.1,ENSRNOP00000017567,70.35,79.9,0.1872,0.4458,0.41983
XP_004853442.1,ENSRNOP00000046286,70.44,78.7,0.1966,0.4684,0.41974
XP_004856611.1,ENSRNOP00000062770,69.65,77.72,0.2077,0.4948,0.41972
XP_004860586.1,ENSRNOP00000047855,58.62,68.28,0.3445,0.8209,0.41963
XP_004837248.1,ENSRNOP00000006704,67.13,75.84,0.2289,0.549,0.41696
XP_004835478.1,ENSRNOP00000038712,55.47,67.64,0.3583,0.8597,0.41671
XP_004844803.1,ENSRNOP00000012021,60.81,71.62,0.2814,0.6753,0.41665
XP_004870061.1,ENSRNOP00000006172,57.43,70.26,0.3103,0.7448,0.4166
XP_004860536.1,ENSRNOP00000047891,66.05,75.01,0.2382,0.5728,0.4159
XP_004857283.1,ENSRNOP00000067027,67.38,76.2,0.2247,0.5408,0.41546
XP_004836539.1,ENSRNOP00000007978,77.24,83.37,0.1436,0.3465,0.4145
XP_004870490.1,ENSRNOP00000009077,67.34,76.57,0.224,0.5408,0.41421
XP_004852479.1,ENSRNOP00000063972,73.97,80.37,0.1858,0.4495,0.41342
XP_004861452.1,ENSRNOP00000049259,57.24,67.76,0.3336,0.8076,0.41308
XP_004868694.1,ENSRNOP00000034319,59.27,69.94,0.3175,0.7688,0.41301
XP_004856756.1,ENSRNOP00000021489,68.42,76.22,0.2259,0.5472,0.41276
XP_004851118.1,ENSRNOP00000012147,49.91,64.64,0.4183,1.0143,0.41237
XP_004853356.1,ENSRNOP00000022744,54.61,66.89,0.3579,0.8689,0.41189
XP_004856759.1,ENSRNOP00000040969,82.52,87.38,0.1059,0.2574,0.41145
XP_004843836.1,ENSRNOP00000063208,68.88,77.95,0.2072,0.5039,0.41115
