SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks
XP_004874071.1,ENSCPOP00000021241,65.09,78.55,0.2507,0.2946,0.85094
XP_004873887.1,ENSCPOP00000009054,74.17,82.94,0.1965,0.232,0.84705
XP_004838168.1,ENSCPOP00000005084,58.82,75.11,0.3038,0.3665,0.82887
XP_004860301.1,ENSCPOP00000008642,85,91.39,0.0879,0.1072,0.82024
XP_004873064.1,ENSCPOP00000020590,58.75,73.22,0.3316,0.4056,0.81743
XP_004856459.1,ENSCPOP00000005631,66.06,81.41,0.2154,0.2642,0.81531
XP_004840269.1,ENSCPOP00000013658,68.62,82.3,0.1983,0.2451,0.80891
XP_004840604.1,ENSCPOP00000017052,55.44,60.98,0.6773,0.8413,0.80513
XP_004873132.1,ENSCPOP00000000426,67.81,80.69,0.2137,0.2664,0.80192
XP_004865051.1,ENSCPOP00000012918,76.39,88.43,0.1217,0.155,0.78544
XP_004864586.1,ENSCPOP00000014622,66.15,81.03,0.216,0.2763,0.78191
XP_004872142.1,ENSCPOP00000018789,72.82,78.96,0.2375,0.3049,0.77895
XP_004869152.1,ENSCPOP00000016361,66.34,77.39,0.2707,0.348,0.77779
XP_004864268.1,ENSCPOP00000005256,65.04,77.1,0.2667,0.3429,0.77768
XP_004858303.1,ENSCPOP00000002821,67.09,80.63,0.214,0.2753,0.77722
XP_004856366.1,ENSCPOP00000007464,77.36,85.91,0.1539,0.1983,0.77634
XP_004871187.1,ENSCPOP00000001516,72.73,81.82,0.2081,0.2693,0.7729
XP_004866319.1,ENSCPOP00000014114,79.96,88.21,0.122,0.1581,0.77203
XP_004854582.1,ENSCPOP00000002274,79.09,86.44,0.1421,0.1849,0.76828
XP_004856391.1,ENSCPOP00000020238,77.78,87.75,0.1284,0.1676,0.76602
XP_004858361.1,ENSCPOP00000000118,68.16,80.27,0.2288,0.2987,0.76587
XP_004864155.1,ENSCPOP00000013336,79.02,87.95,0.124,0.1623,0.76383
XP_004861545.1,ENSCPOP00000012901,65.37,79.64,0.2273,0.298,0.76294
XP_004856374.1,ENSCPOP00000012638,67.19,79.71,0.2274,0.2983,0.76212
XP_004837913.1,ENSCPOP00000003516,70.59,80.88,0.2181,0.2865,0.76131
XP_004851365.1,ENSCPOP00000010108,68.78,78.66,0.2446,0.3231,0.7571
XP_004921228.1,ENSCPOP00000017871,68.23,80.57,0.2164,0.286,0.75657
XP_004843061.1,ENSCPOP00000000912,77.89,86.11,0.1448,0.1921,0.75347
XP_004868002.1,ENSCPOP00000005015,70.37,83.15,0.1923,0.2554,0.75287
XP_004847635.1,ENSCPOP00000006880,69.28,80.17,0.2248,0.2989,0.75205
XP_004853632.1,ENSCPOP00000010139,71.36,83.08,0.1836,0.2445,0.75082
XP_004862234.1,ENSCPOP00000005159,76.96,86.09,0.1475,0.197,0.74862
XP_004869721.1,ENSCPOP00000007644,76.74,86.32,0.1438,0.1924,0.74738
XP_004848103.1,ENSCPOP00000017934,85,92.05,0.08,0.1072,0.74596
XP_004860690.1,ENSCPOP00000003628,68.83,75.32,0.2937,0.3978,0.73824
XP_004842639.1,ENSCPOP00000015376,65.13,71.8,0.3394,0.4611,0.73599
XP_004861719.1,ENSCPOP00000011865,73.09,84.29,0.1665,0.2264,0.7354
XP_004873279.1,ENSCPOP00000009384,43.36,64.34,0.514,0.6992,0.73506
XP_004856121.1,ENSCPOP00000002240,70.66,82.16,0.2045,0.2786,0.73411
XP_004842486.1,ENSCPOP00000018397,67.42,79.41,0.2305,0.3143,0.73341
XP_004859203.1,ENSCPOP00000020722,57.96,70.45,0.3572,0.4878,0.73228
XP_004853152.1,ENSCPOP00000014621,66.56,76.92,0.2667,0.3649,0.73078
XP_004838946.1,ENSCPOP00000008263,72.44,84.36,0.1659,0.2283,0.72665
XP_004835981.1,ENSCPOP00000020018,56.2,69.46,0.4081,0.5632,0.72462
XP_004850513.1,ENSCPOP00000011375,80.43,88.89,0.1145,0.1581,0.72434
XP_004872612.1,ENSCPOP00000000510,68.98,84,0.1744,0.2408,0.72416
XP_004873735.1,ENSCPOP00000010481,74.79,85.19,0.1529,0.2141,0.71416
XP_004856918.1,ENSCPOP00000002714,70,79.41,0.2262,0.317,0.71351
XP_004871869.1,ENSCPOP00000006124,64.49,77.26,0.2687,0.378,0.71104
XP_004873686.1,ENSCPOP00000014715,61.23,73.95,0.3046,0.4299,0.70861
XP_004837248.1,ENSCPOP00000008365,80.24,88.1,0.1199,0.1696,0.70696
XP_004850127.1,ENSCPOP00000012773,76.63,85.69,0.1487,0.2117,0.70235
XP_004870672.1,ENSCPOP00000012126,72.27,83.75,0.1723,0.2458,0.70126
XP_004870209.1,ENSCPOP00000000347,79.45,87.88,0.1231,0.1759,0.69962
XP_004874780.1,ENSCPOP00000012831,75.81,85.75,0.1498,0.2148,0.69742
XP_004851104.1,ENSCPOP00000004160,81.11,88.33,0.1172,0.1683,0.69655
XP_004838786.1,ENSCPOP00000012745,60.83,76.05,0.2863,0.4114,0.69577
XP_004840267.1,ENSCPOP00000015758,73.18,83.14,0.1792,0.2592,0.69144
XP_004834080.1,ENSCPOP00000012310,74,83.19,0.1773,0.2565,0.69121
XP_004855962.1,ENSCPOP00000005808,57.64,70.66,0.3536,0.5122,0.69031
XP_004835236.1,ENSCPOP00000006135,81.32,88.72,0.111,0.1615,0.68763
XP_004834887.1,ENSCPOP00000000953,71.75,81.26,0.2018,0.2936,0.68728
XP_004863086.1,ENSCPOP00000009461,66.05,76.85,0.2625,0.3829,0.68562
XP_004860649.1,ENSCPOP00000009831,70.89,82.53,0.1843,0.2693,0.68442
XP_004861143.1,ENSCPOP00000008902,72.32,83.24,0.1801,0.2633,0.68418
XP_004838690.1,ENSCPOP00000006316,77.28,87.68,0.1287,0.1881,0.68413
XP_004834884.1,ENSCPOP00000010077,67.28,78.8,0.2311,0.3386,0.6824
XP_004860361.1,ENSCPOP00000001426,71.53,82.15,0.1896,0.2785,0.681
XP_004847739.1,ENSCPOP00000008982,81.19,91.09,0.0872,0.1286,0.67819
XP_004856517.1,ENSCPOP00000008769,75.81,86.18,0.1397,0.2061,0.67773
XP_004868339.1,ENSCPOP00000014652,66.41,80.26,0.218,0.3219,0.67724
XP_004874917.1,ENSCPOP00000006821,82.26,90.36,0.0958,0.1419,0.67502
XP_004851400.1,ENSCPOP00000004856,61.11,77.23,0.2659,0.3948,0.67358
XP_004865118.1,ENSCPOP00000007158,75.88,85.62,0.1458,0.2169,0.67242
XP_004868093.1,ENSCPOP00000009466,34.54,51.05,0.8175,1.216,0.67228
XP_004869046.1,ENSCPOP00000005534,28.77,44.33,0.9952,1.4821,0.67144
XP_004852736.1,ENSCPOP00000002040,77.22,86.75,0.1338,0.1996,0.67054
XP_004837175.1,ENSCPOP00000001356,69.72,82.57,0.1908,0.2862,0.66679
XP_004854994.1,ENSCPOP00000011186,81.51,89.95,0.0986,0.1483,0.66442
XP_004857141.1,ENSCPOP00000004543,81.99,88.25,0.1167,0.1758,0.66364
XP_004857641.1,ENSCPOP00000010149,74.22,85.42,0.1518,0.2289,0.66317
XP_004856377.1,ENSCPOP00000018251,72.63,81.75,0.1968,0.297,0.66243
XP_004841756.1,ENSCPOP00000003265,69.87,80.89,0.2005,0.3028,0.66207
XP_004871808.1,ENSCPOP00000004384,59.44,75.93,0.2763,0.4174,0.66204
XP_004862028.1,ENSCPOP00000004696,69.3,80.91,0.2063,0.3116,0.66197
XP_004852380.1,ENSCPOP00000003397,68.36,73.94,0.2981,0.4509,0.66108
XP_004872632.1,ENSCPOP00000017612,65.36,77.23,0.2701,0.4088,0.66065
XP_004872812.1,ENSCPOP00000019566,64.42,74.68,0.2881,0.4375,0.65846
XP_004871053.1,ENSCPOP00000013789,76.1,85.71,0.1461,0.222,0.65798
XP_004835791.1,ENSCPOP00000007439,68.75,79.28,0.2219,0.3388,0.65511
XP_004862017.1,ENSCPOP00000005983,68.54,77.15,0.2525,0.3856,0.65499
XP_004869512.1,ENSCPOP00000011097,79.69,88.51,0.1107,0.1693,0.65416
XP_004842362.1,ENSCPOP00000001868,67.56,79.2,0.2232,0.3425,0.65162
XP_004842105.1,ENSCPOP00000008697,82.81,89.97,0.0954,0.1465,0.65103
XP_004836128.1,ENSCPOP00000003163,72.38,79.66,0.217,0.3334,0.65099
XP_004850128.1,ENSCPOP00000011472,70.62,83.24,0.1809,0.2781,0.6505
XP_004861816.1,ENSCPOP00000009103,70.19,80.88,0.2056,0.3163,0.65012
XP_004863570.1,ENSCPOP00000004339,74.86,84.46,0.1577,0.2429,0.64927
XP_004844356.1,ENSCPOP00000001491,50.66,63.06,0.4935,0.7613,0.64826
XP_004848732.1,ENSCPOP00000005832,78.78,87.45,0.124,0.1914,0.64775
XP_004854993.1,ENSCPOP00000007430,73.68,82.46,0.1812,0.2801,0.64676
XP_004848522.1,ENSCPOP00000010585,57.94,70.72,0.3527,0.5467,0.64508
XP_004851469.1,ENSCPOP00000004255,68.68,82.05,0.1912,0.2965,0.6449
XP_004870408.1,ENSCPOP00000011820,77.95,86.4,0.1356,0.2108,0.64342
XP_004845975.1,ENSCPOP00000000259,75.46,85.47,0.147,0.2287,0.64291
XP_004845303.1,ENSCPOP00000018855,80.77,87.61,0.124,0.1928,0.64287
XP_004835781.1,ENSCPOP00000017857,55,67.86,0.3899,0.6072,0.64208
XP_004871975.1,ENSCPOP00000014736,77.91,85.53,0.1453,0.2265,0.64152
XP_004842008.1,ENSCPOP00000015697,84.21,90,0.0879,0.137,0.64139
XP_004861452.1,ENSCPOP00000013463,76.47,86.06,0.1377,0.2152,0.63985
XP_004838845.1,ENSCPOP00000000551,81.32,87.91,0.1174,0.1837,0.63933
XP_004870720.1,ENSCPOP00000007949,83.52,91.21,0.085,0.1332,0.63807
XP_004858424.1,ENSCPOP00000010424,57.96,72.57,0.3239,0.5082,0.63737
XP_004834586.1,ENSCPOP00000000013,78.08,86.61,0.1328,0.2088,0.63611
XP_004870061.1,ENSCPOP00000013268,75.5,83.38,0.1724,0.2717,0.6345
XP_004839354.1,ENSCPOP00000010971,65.69,78.37,0.2447,0.3858,0.63425
XP_004857054.1,ENSCPOP00000002666,81.22,88.54,0.1106,0.175,0.63191
XP_004872082.1,ENSCPOP00000012799,67.16,77.7,0.2463,0.3898,0.63188
XP_004845931.1,ENSCPOP00000011931,76.6,85.26,0.1471,0.2329,0.63154
XP_004855989.1,ENSCPOP00000012996,71.97,81.45,0.1932,0.3061,0.63139
XP_004861161.1,ENSCPOP00000011822,68.57,74.29,0.2947,0.4668,0.6312
XP_004863393.1,ENSCPOP00000010962,75.16,84.51,0.157,0.2497,0.62861
XP_004867034.1,ENSCPOP00000016869,69.09,79.53,0.2189,0.3485,0.62813
XP_004838404.1,ENSCPOP00000008736,73.66,82.97,0.1805,0.2877,0.62731
XP_004848644.1,ENSCPOP00000007789,75.55,83.92,0.1645,0.2629,0.62593
XP_004872907.1,ENSCPOP00000005339,75.27,86.04,0.1425,0.2282,0.62444
XP_004858762.1,ENSCPOP00000002657,74.7,82.14,0.1833,0.2936,0.62442
XP_004847714.1,ENSCPOP00000008463,59.63,68.4,0.3903,0.6252,0.62436
XP_004847126.1,ENSCPOP00000014987,68.28,79.19,0.2212,0.355,0.6232
XP_004845025.1,ENSCPOP00000011759,76.16,86.09,0.1376,0.2209,0.62292
XP_004849770.1,ENSCPOP00000009674,77.42,86.38,0.1335,0.2145,0.62251
XP_004858244.1,ENSCPOP00000001819,76.19,85.21,0.1494,0.24,0.62238
XP_004871725.1,ENSCPOP00000002471,63.87,76.41,0.2619,0.4209,0.62221
XP_004858380.1,ENSCPOP00000015788,70.61,81.7,0.1893,0.3044,0.62192
XP_004836381.1,ENSCPOP00000008366,76.39,85.21,0.1469,0.2363,0.62145
XP_004854822.1,ENSCPOP00000019045,66.77,77.11,0.2465,0.3969,0.62123
XP_004870894.1,ENSCPOP00000019026,62.64,77.98,0.2405,0.3877,0.62032
XP_004872299.1,ENSCPOP00000010929,61.6,77.06,0.2476,0.3992,0.62014
XP_004837653.1,ENSCPOP00000018202,63.54,77.43,0.2536,0.4102,0.6183
XP_004869060.1,ENSCPOP00000009093,62.86,69.01,0.3613,0.5846,0.61814
XP_004845771.1,ENSCPOP00000020037,81.8,83.62,0.1625,0.263,0.6177
XP_004870610.1,ENSCPOP00000015597,64.77,78.28,0.2444,0.397,0.61569
XP_004846138.1,ENSCPOP00000013047,87.71,91.99,0.0731,0.1193,0.61265
XP_004867878.1,ENSCPOP00000010291,77.68,83.71,0.1633,0.267,0.61178
XP_004834882.1,ENSCPOP00000017287,59.6,70.23,0.3433,0.5613,0.61161
XP_004850515.1,ENSCPOP00000021196,81.91,89.24,0.1009,0.1649,0.61155
XP_004847930.1,ENSCPOP00000008860,75.03,84.09,0.1632,0.2671,0.61108
XP_004856640.1,ENSCPOP00000008883,83.74,91.87,0.0774,0.1268,0.61085
XP_004874183.1,ENSCPOP00000000180,59.9,73.44,0.3029,0.4985,0.60756
XP_004866557.1,ENSCPOP00000000901,78.51,88.01,0.1169,0.1924,0.60755
XP_004849989.1,ENSCPOP00000012776,77.05,85.79,0.1416,0.2331,0.60743
XP_004838448.1,ENSCPOP00000015979,76.41,86.06,0.1404,0.2314,0.60681
XP_004872991.1,ENSCPOP00000010314,75.1,82.49,0.1742,0.2876,0.60577
XP_004867007.1,ENSCPOP00000014338,69.3,82.46,0.1904,0.3145,0.60545
XP_004862492.1,ENSCPOP00000015737,77.01,86.21,0.1333,0.2203,0.60517
XP_004858718.1,ENSCPOP00000013814,74.26,84.16,0.1653,0.2734,0.60445
XP_004860133.1,ENSCPOP00000007276,80.07,87.9,0.1153,0.1911,0.60346
XP_004921192.1,ENSCPOP00000015475,76.76,86.67,0.1302,0.2158,0.60346
XP_004866816.1,ENSCPOP00000000280,58.04,74.36,0.2968,0.4923,0.60292
XP_004838789.1,ENSCPOP00000012737,79.56,86.67,0.1309,0.2173,0.6026
XP_004859208.1,ENSCPOP00000014364,59.52,70.63,0.3417,0.5682,0.6014
XP_004859187.1,ENSCPOP00000002373,73.33,82.38,0.1806,0.3003,0.60131
XP_004861510.1,ENSCPOP00000001744,79.89,87.76,0.1171,0.1949,0.60091
XP_004853753.1,ENSCPOP00000013381,80.34,88.38,0.114,0.1898,0.60072
XP_004834918.1,ENSCPOP00000006627,83.54,89.33,0.0975,0.1625,0.59996
XP_004835230.1,ENSCPOP00000000504,79.68,86.45,0.1313,0.2191,0.59928
XP_004846273.1,ENSCPOP00000011421,63.74,75.82,0.2656,0.4433,0.59919
XP_004870197.1,ENSCPOP00000000360,82.46,88.99,0.1044,0.1742,0.59908
XP_004838785.1,ENSCPOP00000003825,85.19,89.95,0.0943,0.1574,0.59901
XP_004864069.1,ENSCPOP00000009514,78.88,86.69,0.1312,0.219,0.59887
XP_004857638.1,ENSCPOP00000016043,62.67,75.46,0.2631,0.4396,0.59855
XP_004863272.1,ENSCPOP00000016992,75.75,85.73,0.146,0.2444,0.5973
XP_004846229.1,ENSCPOP00000014059,77.8,87.41,0.1217,0.2042,0.596
XP_004872167.1,ENSCPOP00000001410,68.01,80.76,0.2015,0.3383,0.59579
XP_004868060.1,ENSCPOP00000009141,75.26,84.19,0.1586,0.2664,0.59537
XP_004872618.1,ENSCPOP00000010536,76.77,86.31,0.1302,0.2191,0.59451
XP_004851670.1,ENSCPOP00000020813,73.08,83.43,0.1721,0.2901,0.59329
XP_004862209.1,ENSCPOP00000005374,78.14,86.9,0.1246,0.2104,0.59231
XP_004864665.1,ENSCPOP00000007004,75.71,84.18,0.1602,0.2706,0.59201
XP_004837741.1,ENSCPOP00000014034,79.84,87.22,0.1226,0.2071,0.59187
XP_004857704.1,ENSCPOP00000003749,75.51,84.58,0.162,0.2738,0.59167
XP_004871113.1,ENSCPOP00000010020,64.66,78.07,0.2379,0.4022,0.59148
XP_004874068.1,ENSCPOP00000013665,77.19,79.73,0.2134,0.3612,0.59072
XP_004859186.1,ENSCPOP00000015447,71.87,80.43,0.1998,0.3385,0.59028
XP_004857283.1,ENSCPOP00000018609,79.43,87.32,0.12,0.2033,0.59019
XP_004865125.1,ENSCPOP00000011846,80.69,88.94,0.1054,0.1787,0.59012
XP_004843225.1,ENSCPOP00000005702,73.74,84.85,0.1553,0.2636,0.58923
XP_004837236.1,ENSCPOP00000003597,85.99,91.55,0.0771,0.1312,0.58726
XP_004861144.1,ENSCPOP00000009919,75.61,84.55,0.1568,0.2673,0.58669
XP_004853217.1,ENSCPOP00000007188,84.68,87.94,0.1138,0.1942,0.58607
XP_004848645.1,ENSCPOP00000013600,74.69,83.47,0.1643,0.2803,0.58605
XP_004849958.1,ENSCPOP00000004429,80.49,88.21,0.1129,0.1929,0.58511
XP_004838410.1,ENSCPOP00000020391,76.27,84.52,0.1509,0.258,0.58507
XP_004836687.1,ENSCPOP00000012677,80.56,88.43,0.1136,0.1943,0.585
XP_004847224.1,ENSCPOP00000016903,55.36,69.05,0.3667,0.627,0.58483
XP_004835844.1,ENSCPOP00000007852,62.75,74.27,0.2906,0.4978,0.5839
XP_004842365.1,ENSCPOP00000009203,70.9,82.32,0.1828,0.313,0.58388
XP_004850672.1,ENSCPOP00000020595,75,84.23,0.1554,0.2664,0.58324
XP_004845928.1,ENSCPOP00000004561,79.9,85.71,0.1359,0.2335,0.58201
XP_004856700.1,ENSCPOP00000016494,62.64,77.66,0.2462,0.4231,0.58195
XP_004870274.1,ENSCPOP00000017962,75.21,81.77,0.1844,0.3173,0.58103
XP_004839067.1,ENSCPOP00000005482,70.11,76.92,0.2537,0.4367,0.58095
XP_004840503.1,ENSCPOP00000016608,48.83,63.76,0.4493,0.774,0.58047
XP_004866647.1,ENSCPOP00000013546,48.19,66.69,0.4309,0.7424,0.58041
XP_004843550.1,ENSCPOP00000011110,78.08,85.98,0.1394,0.2402,0.58019
XP_004836555.1,ENSCPOP00000005315,66.07,74.07,0.2824,0.488,0.57863
XP_004840812.1,ENSCPOP00000011082,73.6,82.53,0.1746,0.302,0.57817
XP_004848397.1,ENSCPOP00000019610,34.4,49.76,0.7627,1.3197,0.57791
XP_004863976.1,ENSCPOP00000004493,48.83,65.67,0.4353,0.7546,0.57693
XP_004869645.1,ENSCPOP00000013985,69.44,79.54,0.2093,0.363,0.57665
XP_004838531.1,ENSCPOP00000002387,82.35,89.22,0.0998,0.1733,0.57605
XP_004856639.1,ENSCPOP00000002879,79.79,87.91,0.1179,0.2047,0.57601
XP_004838592.1,ENSCPOP00000010940,87.84,92.43,0.0677,0.1175,0.57579
XP_004855841.1,ENSCPOP00000007010,77.01,82.76,0.1714,0.2983,0.57472
XP_004849960.1,ENSCPOP00000008370,72.98,83.17,0.1706,0.297,0.57432
XP_004862327.1,ENSCPOP00000018546,69.9,79.29,0.2126,0.3704,0.57397
XP_004869615.1,ENSCPOP00000017939,61.77,72.58,0.3101,0.5405,0.57363
XP_004838835.1,ENSCPOP00000011441,83.19,88.66,0.1064,0.1856,0.57352
XP_004873660.1,ENSCPOP00000018889,70,79.77,0.2074,0.3624,0.57219
XP_004873663.1,ENSCPOP00000014858,75.76,84.11,0.1553,0.2715,0.57196
XP_004851311.1,ENSCPOP00000006948,78.24,85.91,0.1353,0.2372,0.5704
XP_004870404.1,ENSCPOP00000005462,76.86,86.5,0.1333,0.234,0.56976
XP_004857262.1,ENSCPOP00000002111,84.57,91.55,0.0817,0.1435,0.56939
XP_004855882.1,ENSCPOP00000014864,71.06,82.67,0.1764,0.3099,0.56918
XP_004856194.1,ENSCPOP00000001366,82.35,88.53,0.1047,0.184,0.569
XP_004856956.1,ENSCPOP00000007330,81.17,86.73,0.1274,0.224,0.5686
XP_004870753.1,ENSCPOP00000005432,72.32,80.6,0.1987,0.3496,0.56831
XP_004837563.1,ENSCPOP00000000524,76.79,86.71,0.1303,0.2293,0.5683
XP_004849877.1,ENSCPOP00000014911,78.47,87.8,0.12,0.2113,0.56761
XP_004846470.1,ENSCPOP00000011506,75.69,84.71,0.1484,0.2619,0.56666
XP_004846663.1,ENSCPOP00000021156,61.44,76.14,0.2614,0.4613,0.56656
XP_004867761.1,ENSCPOP00000012208,78.05,85.48,0.1398,0.2469,0.56628
XP_004873065.1,ENSCPOP00000021245,76.47,85.71,0.1387,0.2455,0.56485
XP_004844115.1,ENSCPOP00000014729,78.05,85.59,0.1398,0.2476,0.56448
XP_004845620.1,ENSCPOP00000012728,81.97,89.46,0.0969,0.1718,0.56406
XP_004846812.1,ENSCPOP00000015033,55.64,74.94,0.291,0.5159,0.56401
XP_004852625.1,ENSCPOP00000004329,79.63,86.73,0.1264,0.2244,0.56312
XP_004850055.1,ENSCPOP00000009762,89.25,93.23,0.0605,0.1075,0.56308
XP_004842338.1,ENSCPOP00000016348,75.89,86.01,0.1338,0.2378,0.56265
XP_004859014.1,ENSCPOP00000010850,80.76,87.26,0.1189,0.2119,0.56135
XP_004848086.1,ENSCPOP00000016377,75.25,85.3,0.1398,0.2492,0.56109
XP_004867840.1,ENSCPOP00000014178,73.39,83.44,0.1679,0.3002,0.55921
XP_004858717.1,ENSCPOP00000013817,82.58,88.67,0.1066,0.1906,0.55912
XP_004853869.1,ENSCPOP00000000585,70.38,80.84,0.1925,0.3446,0.55872
XP_004835932.1,ENSCPOP00000013758,84.36,90.21,0.0911,0.1631,0.55853
XP_004847311.1,ENSCPOP00000019066,71.49,84.85,0.1547,0.2769,0.55852
XP_004854564.1,ENSCPOP00000002489,73.33,81.8,0.1819,0.3258,0.55835
XP_004849562.1,ENSCPOP00000020804,73.73,83.5,0.1604,0.2873,0.55815
XP_004860490.1,ENSCPOP00000009878,72.25,80.97,0.1891,0.3388,0.55808
XP_004842844.1,ENSCPOP00000003818,73.08,81.2,0.1887,0.3382,0.55797
XP_004835883.1,ENSCPOP00000008246,79.12,87.42,0.1227,0.22,0.55781
XP_004855514.1,ENSCPOP00000014181,74.8,85.57,0.1459,0.2621,0.55684
XP_004836551.1,ENSCPOP00000019876,71.02,81.75,0.1794,0.3224,0.55642
XP_004840621.1,ENSCPOP00000003454,80.5,87.41,0.1202,0.2162,0.55603
XP_004873079.1,ENSCPOP00000018787,86.39,90.93,0.0794,0.1427,0.556
XP_004848275.1,ENSCPOP00000006125,75.18,83.53,0.158,0.2842,0.55579
XP_004838247.1,ENSCPOP00000012407,79.78,85.79,0.134,0.2412,0.5554
XP_004844806.1,ENSCPOP00000011000,63.82,72.01,0.3105,0.5594,0.55504
XP_004873180.1,ENSCPOP00000009502,69.57,80.69,0.2024,0.3648,0.55487
XP_004864933.1,ENSCPOP00000004416,64.4,74.58,0.2852,0.5142,0.55455
XP_004854171.1,ENSCPOP00000013860,71.58,81.69,0.1861,0.3356,0.55452
XP_004847310.1,ENSCPOP00000007064,74.28,83.2,0.1654,0.299,0.55317
XP_004921100.1,ENSCPOP00000014180,64.65,78.45,0.2227,0.4036,0.55167
XP_004850210.1,ENSCPOP00000013278,70.68,80.45,0.1959,0.3554,0.55113
XP_004853156.1,ENSCPOP00000014348,67.25,78.05,0.2258,0.4101,0.55064
XP_004864924.1,ENSCPOP00000017201,76.06,85.13,0.1436,0.2613,0.54943
XP_004874569.1,ENSCPOP00000006875,53.69,65.28,0.4355,0.7941,0.54836
XP_004840880.1,ENSCPOP00000005470,83.38,88.64,0.1048,0.1911,0.54822
XP_004838802.1,ENSCPOP00000004349,88.3,91.95,0.0697,0.1276,0.54635
XP_004855692.1,ENSCPOP00000008511,73.02,83.6,0.1646,0.3017,0.5458
XP_004854271.1,ENSCPOP00000000391,62.71,78.64,0.2312,0.4239,0.54534
XP_004850020.1,ENSCPOP00000001438,78.36,85.99,0.1308,0.2399,0.54511
XP_004851444.1,ENSCPOP00000002006,80.48,86.35,0.1277,0.2345,0.54444
XP_004854702.1,ENSCPOP00000017501,75.38,84.08,0.1521,0.2793,0.54444
XP_004835710.1,ENSCPOP00000019815,79.18,86.95,0.122,0.2242,0.5444
XP_004858429.1,ENSCPOP00000003225,84.48,90.75,0.0838,0.154,0.5442
XP_004873653.1,ENSCPOP00000008716,73.74,84.51,0.1584,0.2915,0.54328
XP_004869153.1,ENSCPOP00000015934,75.25,83.08,0.1698,0.3129,0.54261
