SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks,Associated Gene Name
XP_004844114.1,ENSP00000356733,56.57,73.15,0.3239,0.4367,0.7418,MROH9
XP_004840608.1,ENSP00000378365,46.48,54.46,0.7409,0.9994,0.74131,CCL26
XP_004843685.1,ENSP00000228463,49.12,62.72,0.5277,0.7131,0.73999,SELPLG
XP_004858761.1,ENSP00000357012,54.28,69.81,0.3756,0.508,0.73937,CD244
XP_004858811.1,ENSP00000357097,59.14,72.76,0.3318,0.4497,0.73765,FCER1A
XP_004861452.1,ENSP00000381250,64.35,78.34,0.2438,0.3306,0.73732,APOF
XP_004871668.1,ENSP00000341442,78.07,86.26,0.1476,0.2021,0.7305,SNTN
XP_004856207.1,ENSP00000353238,51.52,68.27,0.4057,0.556,0.72981,SPN
XP_004845620.1,ENSP00000317431,67.17,80.3,0.2193,0.3012,0.72807,ENTHD1
XP_004875150.1,ENSP00000361711,60.91,77.83,0.2639,0.3656,0.72181,TCEAL3
XP_004870869.1,ENSP00000381204,62.57,73.98,0.3233,0.4499,0.71865,TMEM123
XP_004865190.1,ENSP00000372410,57.52,74.73,0.3056,0.4264,0.71671,RNASE13
XP_004868296.1,ENSP00000280245,75.24,85.68,0.1539,0.2156,0.7137,CCDC83
XP_004838531.1,ENSP00000308815,75.51,85.03,0.1608,0.2279,0.70567,CCL19
XP_004872082.1,ENSP00000365210,59.94,74.74,0.3059,0.4345,0.70405,CCNB3
XP_004844945.1,ENSP00000299157,30.09,50.14,0.8978,1.2765,0.70331,IKBIP
XP_004865020.1,ENSP00000259456,63.11,78.89,0.2674,0.3812,0.70147,HEMGN
XP_004856749.1,ENSP00000348635,64.71,77.18,0.2653,0.3782,0.7014,AMICA1
XP_004867034.1,ENSP00000200453,59.2,72.91,0.3302,0.4715,0.70025,PPP1R15A
XP_004859188.1,ENSP00000357036,47.83,64.08,0.4717,0.6738,0.70009,SLAMF6
XP_004840812.1,ENSP00000401980,57.55,70.75,0.3536,0.5093,0.69436,MAVS
XP_004856517.1,ENSP00000395835,63.74,77.44,0.2519,0.3643,0.69159,CCDC129
XP_004856639.1,ENSP00000280357,70.98,81.87,0.2024,0.294,0.68856,IL18
XP_004868093.1,ENSP00000375899,35.31,52.24,0.7817,1.1369,0.6876,SP140
XP_004870061.1,ENSP00000331211,66.57,80.83,0.211,0.3079,0.68538,RBM43
XP_004873686.1,ENSP00000353512,69.22,81.05,0.2048,0.2996,0.68348,PARP9
XP_004871113.1,ENSP00000359329,62.95,77.65,0.2535,0.372,0.68142,GABRQ
XP_004856481.1,ENSP00000347988,79.31,86.49,0.1418,0.2084,0.68038,NDUFA5
XP_004847635.1,ENSP00000244527,62.15,75.2,0.2857,0.4207,0.67914,SLC17A1
XP_004842078.1,ENSP00000263851,62.09,76.69,0.2756,0.4071,0.67691,IL7
XP_004874517.1,ENSP00000432305,79.17,87.22,0.1297,0.192,0.67564,SPA17
XP_004870209.1,ENSP00000414964,67.32,80.18,0.2195,0.3251,0.67523,CCDC107
XP_004858718.1,ENSP00000356969,70,79.33,0.2398,0.3577,0.67057,APOA2
XP_004873000.1,ENSP00000361095,72.06,83.4,0.1745,0.2605,0.66985,TMEM69
XP_004859187.1,ENSP00000357025,59.34,73.86,0.3053,0.4562,0.66913,CD48
XP_004858228.1,ENSP00000342082,68.46,80.51,0.2063,0.3089,0.66772,SLPI
XP_004862998.1,ENSP00000448051,64.29,72.22,0.3277,0.4909,0.66758,DAZAP2
XP_004870753.1,ENSP00000304327,72.88,80.98,0.2065,0.3094,0.66744,COPRS
XP_004837236.1,ENSP00000435550,72.26,84.34,0.1614,0.242,0.66705,ZC2HC1C
XP_004860552.1,ENSP00000352284,62.33,76.9,0.2534,0.3805,0.66585,TMEM139
XP_004868449.1,ENSP00000321179,66.83,81.87,0.2022,0.3039,0.66539,RBM44
XP_004844587.1,ENSP00000263341,70.79,81.77,0.1978,0.2982,0.66334,IL1B
XP_004848728.1,ENSP00000379997,65.16,80.43,0.2137,0.323,0.66168,GAPT
XP_004853869.1,ENSP00000358490,62.28,76.8,0.2584,0.3908,0.66119,CD2
XP_004862409.1,ENSP00000359668,61.63,74.29,0.2896,0.4381,0.66106,VGLL1
XP_004869878.1,ENSP00000278855,58.86,72.15,0.3257,0.4931,0.66054,PLAC1L
XP_004850672.1,ENSP00000363416,69.91,81.91,0.191,0.2901,0.65825,AUNIP
XP_004834010.1,ENSP00000273610,61.82,77.58,0.2555,0.3883,0.65784,UCN2
XP_004842105.1,ENSP00000312599,68.36,80.21,0.2085,0.3184,0.65471,TMEM70
XP_004835844.1,ENSP00000312235,43.27,59.97,0.562,0.8626,0.65156,MUC13
XP_004869580.1,ENSP00000302079,66.38,78.65,0.2296,0.3525,0.65127,C3AR1
XP_004866998.1,ENSP00000338627,37.88,56.5,0.6573,1.0098,0.65091,SLC6A16
XP_004869721.1,ENSP00000320815,71.43,81.92,0.1904,0.2928,0.65043,GDPD4
XP_004847930.1,ENSP00000425493,62.81,77.81,0.2559,0.3937,0.64989,CAGE1
XP_004872632.1,ENSP00000361998,67.79,82.26,0.1983,0.3055,0.64907,TAF7L
XP_004861493.1,ENSP00000419786,69.3,81.37,0.2036,0.3151,0.64607,RGAG1
XP_004847075.1,ENSP00000403495,64.65,79.12,0.2407,0.3755,0.64106,LTA
XP_004873127.1,ENSP00000328737,70.73,81.17,0.1953,0.3049,0.64046,LYPD4
XP_004839354.1,ENSP00000233057,60.19,74.83,0.2983,0.4673,0.63828,EIF2AK2
XP_004834080.1,ENSP00000391788,70.51,81.13,0.1998,0.3136,0.63712,CCDC36
XP_004835747.1,ENSP00000419085,70.08,80.87,0.2016,0.3173,0.63545,TIGIT
XP_004858762.1,ENSP00000306190,63.58,77.91,0.2399,0.3781,0.63468,SLAMF1
XP_004870216.1,ENSP00000379980,62.18,74.98,0.2796,0.4427,0.6315,CD72
XP_004841291.1,ENSP00000334145,70.21,80.48,0.2047,0.3249,0.63015,F3
XP_004847126.1,ENSP00000365588,61.1,73.92,0.2957,0.4705,0.62847,MDC1
XP_004845946.1,ENSP00000309124,61.9,75.82,0.2658,0.4252,0.62513,OLR1
XP_004871782.1,ENSP00000313809,66.59,80.37,0.2053,0.3296,0.62291,AMBN
XP_004855514.1,ENSP00000256246,64.51,79.96,0.226,0.3635,0.62175,TEX15
XP_004856571.1,ENSP00000265843,68.86,82.08,0.1897,0.3051,0.62155,EXPH5
XP_004836670.1,ENSP00000231454,67.91,78.86,0.2338,0.3765,0.62093,IL5
XP_004850939.1,ENSP00000362574,71.54,81.78,0.1919,0.3101,0.61888,S100PBP
XP_004874851.1,ENSP00000361004,71.43,83.42,0.1736,0.281,0.61792,IL13RA2
XP_004863570.1,ENSP00000299481,68.21,79.79,0.2121,0.3434,0.61764,NLRP14
XP_004921166.1,ENSP00000442291,60.04,74.56,0.2797,0.4528,0.61757,IQCC
XP_004847099.1,ENSP00000259845,73.53,81.62,0.19,0.3078,0.61734,PSORS1C2
XP_004864031.1,ENSP00000341267,86.87,91.58,0.0786,0.1275,0.61646,HMGN3
XP_004870404.1,ENSP00000333433,80.99,89.53,0.1014,0.1647,0.61567,SKA2
XP_004858299.1,ENSP00000361597,76.02,85.37,0.143,0.2326,0.61471,SPATA25
XP_004873132.1,ENSP00000472308,59.75,72.6,0.3057,0.4974,0.61468,TEX101
XP_004840880.1,ENSP00000335557,78.33,86.62,0.131,0.2133,0.61445,SLX4IP
XP_004856121.1,ENSP00000457539,57.41,71.88,0.3715,0.6047,0.61442,APOBR
XP_004835698.1,ENSP00000184266,74.42,82.69,0.1736,0.2833,0.61281,NDUFB4
XP_004838946.1,ENSP00000358316,57.62,71.6,0.3296,0.5389,0.61157,PLEKHS1
XP_004838786.1,ENSP00000357643,51.68,69.18,0.3946,0.6465,0.61038,MKI67
XP_004867936.1,ENSP00000216968,62.28,74.56,0.2945,0.4855,0.60657,PROCR
XP_004856366.1,ENSP00000337289,69.78,81.97,0.198,0.3277,0.60411,CENPQ
XP_004867288.1,ENSP00000385158,74.27,83.82,0.1653,0.2738,0.60377,FAM161A
XP_004875521.1,ENSP00000445683,65.75,79.22,0.2242,0.3716,0.60334,GPRASP1
XP_004835781.1,ENSP00000311035,52.82,66.9,0.4047,0.671,0.60311,CD200R1
XP_004865084.1,ENSP00000298681,75.73,82.63,0.172,0.2866,0.60024,SLC39A2
XP_004840267.1,ENSP00000381109,65.77,77.24,0.2493,0.4157,0.59963,ZCWPW1
XP_004874021.1,ENSP00000309376,67.88,77.2,0.2436,0.4066,0.59925,CD164
XP_004869117.1,ENSP00000337432,53.99,71.98,0.3266,0.5454,0.59883,IL17F
XP_004854994.1,ENSP00000264497,79.08,87.58,0.1205,0.2014,0.59801,IL21
XP_004859203.1,ENSP00000354691,61.85,73.53,0.2903,0.4897,0.5929,FCRL5
XP_004840269.1,ENSP00000198536,52.38,68.93,0.3726,0.6291,0.59229,PILRA
XP_004858466.1,ENSP00000354991,66.09,79.01,0.2213,0.3737,0.59213,ALPK2
XP_004838168.1,ENSP00000276708,61.22,75.36,0.2739,0.4635,0.59095,GSDMC
XP_004834884.1,ENSP00000265029,68.44,78.43,0.2249,0.382,0.58868,FETUB
XP_004844803.1,ENSP00000338389,65.99,76.64,0.2458,0.4177,0.58857,MRPL35
XP_004848626.1,ENSP00000230882,75.28,84.47,0.1547,0.2631,0.58789,GHR
XP_004835883.1,ENSP00000306627,66.88,79.64,0.2234,0.381,0.58637,SLC9C1
XP_004859186.1,ENSP00000357022,60.99,74.1,0.2848,0.4866,0.58527,SLAMF7
XP_004849996.1,ENSP00000307004,73.23,83.99,0.1625,0.2783,0.58397,APLF
XP_004862209.1,ENSP00000356156,71.59,81.06,0.1906,0.3265,0.58368,PPP1R15B
XP_004872907.1,ENSP00000351575,67.71,81.08,0.2033,0.3496,0.58152,BDP1
XP_004853431.1,ENSP00000323795,74.24,85.02,0.1504,0.2592,0.58047,TEX35
XP_004866204.1,ENSP00000354871,73.67,84.11,0.1586,0.2737,0.57962,PPEF1
XP_004874569.1,ENSP00000341684,68.17,79.68,0.2165,0.3739,0.57913,CCDC15
XP_004856007.1,ENSP00000261584,65.27,79.49,0.2178,0.3762,0.5789,PALB2
XP_004853064.1,ENSP00000281453,73.67,84.54,0.1576,0.2724,0.57869,MLF1IP
XP_004847567.1,ENSP00000226951,66.36,76.17,0.2577,0.447,0.57651,CLNK
XP_004838592.1,ENSP00000400932,81.92,87.95,0.113,0.196,0.57647,SLC35G1
XP_004874630.1,ENSP00000337839,73.37,83.99,0.1619,0.2813,0.57556,ZCCHC7
XP_004869764.1,ENSP00000278888,60.83,75.14,0.267,0.465,0.57429,MS4A2
XP_004862097.1,ENSP00000310036,68.53,77.6,0.2342,0.4092,0.5722,CD34
XP_004869123.1,ENSP00000385836,72.35,83.14,0.1665,0.2917,0.57085,FAM26D
XP_004874917.1,ENSP00000381378,73.86,85.14,0.1486,0.2606,0.57032,FANCB
XP_004848732.1,ENSP00000415900,67.58,78.48,0.2247,0.3946,0.56945,IL31RA
XP_004853632.1,ENSP00000385470,65.48,76.99,0.246,0.4325,0.56883,TNFSF18
XP_004848397.1,ENSP00000349324,28.98,45.17,0.9768,1.7212,0.56754,TNFRSF10C
XP_004921100.1,ENSP00000334285,57.67,74.23,0.281,0.4956,0.56694,FAM170A
XP_004834918.1,ENSP00000204615,78.32,85.93,0.1306,0.2306,0.56637,THPO
XP_004871576.1,ENSP00000306425,76.47,86.67,0.1263,0.2235,0.56526,CHCHD7
XP_004861144.1,ENSP00000229135,62.2,74.59,0.285,0.5046,0.56468,IFNG
XP_004835217.1,ENSP00000295910,68.58,78.65,0.221,0.3915,0.56464,FAM194A
XP_004857354.1,ENSP00000329380,62.73,72.83,0.2998,0.5313,0.56424,GP1BA
XP_004867761.1,ENSP00000371364,69.59,79.5,0.2109,0.3738,0.56402,TMEM156
XP_004842365.1,ENSP00000270139,61.45,76.18,0.2697,0.479,0.56307,IFNAR1
XP_004863089.1,ENSP00000257909,73.37,81.96,0.1762,0.3133,0.56247,TROAP
XP_004847312.1,ENSP00000226279,58.86,73.36,0.2912,0.5182,0.56198,CD38
XP_004835225.1,ENSP00000390232,66.5,80.07,0.2125,0.3786,0.56133,ZBBX
XP_004868576.1,ENSP00000414109,52.51,67.08,0.3826,0.6835,0.55967,HJURP
XP_004838845.1,ENSP00000358001,71.46,80.01,0.2039,0.3646,0.55911,TACC2
XP_004871520.1,ENSP00000357380,57.05,69.02,0.3722,0.6664,0.55857,MUC1
XP_004870647.1,ENSP00000462963,73.18,82.31,0.1749,0.3134,0.5582,TEFM
XP_004861792.1,ENSP00000335463,67.6,80.66,0.207,0.371,0.55798,CASC5
XP_004850087.1,ENSP00000367766,61.6,73.07,0.3136,0.5622,0.55773,RPGR
XP_004850128.1,ENSP00000272342,65.06,79.22,0.2292,0.4122,0.55612,ETAA1
XP_004836437.1,ENSP00000381247,67.35,77.38,0.2413,0.4346,0.55529,EFCAB9
XP_004871783.1,ENSP00000379383,69.16,81.33,0.1923,0.3471,0.55395,ENAM
XP_004869786.1,ENSP00000434435,59.97,73.2,0.3012,0.544,0.55364,FAM111A
XP_004865330.1,ENSP00000284601,70.45,83.21,0.1754,0.318,0.55149,PPP1R3A
XP_004860301.1,ENSP00000358595,73.28,83.05,0.1633,0.2962,0.55135,CGA
XP_004845928.1,ENSP00000438205,65.7,78.02,0.2235,0.4054,0.55121,MANSC1
XP_004851845.1,ENSP00000305766,57.37,68.86,0.3748,0.6803,0.5509,MRGPRX1
XP_004836128.1,ENSP00000318916,67.6,76.53,0.2478,0.4502,0.55038,MARCO
XP_004860365.1,ENSP00000358703,69.29,81.36,0.1849,0.3359,0.55033,RIPPLY2
XP_004860598.1,ENSP00000419457,60.71,72.17,0.3063,0.5567,0.55018,NOBOX
XP_004864314.1,ENSP00000285083,83.01,89.21,0.098,0.1781,0.55017,OXNAD1
XP_004848645.1,ENSP00000274276,66.22,77.45,0.235,0.4278,0.54928,OSMR
XP_004862887.1,ENSP00000356530,68.93,79.47,0.2132,0.3884,0.5489,RNASEL
XP_004843382.1,ENSP00000374821,50.36,63.99,0.439,0.8002,0.5487,IGLV11-55
XP_004845931.1,ENSP00000309132,69.44,80.45,0.1962,0.3583,0.54743,BCL2L14
XP_004834631.1,ENSP00000391299,73.3,82.58,0.1697,0.3099,0.54741,SAMD7
XP_004864586.1,ENSP00000330269,63.52,76.1,0.2613,0.4778,0.54696,RESP18
XP_004851670.1,ENSP00000335325,67.78,80.72,0.211,0.3866,0.54583,CCDC73
XP_004854963.1,ENSP00000426174,64.68,74.16,0.3006,0.5511,0.54549,CCDC169
XP_004859201.1,ENSP00000357167,49.43,64.46,0.4304,0.7904,0.54458,FCRL3
XP_004835023.1,ENSP00000353375,65.56,76.54,0.2467,0.4536,0.54393,MAP4
XP_004856194.1,ENSP00000456226,80.59,86.18,0.1283,0.236,0.54391,PRRT2
XP_004862335.1,ENSP00000356058,61.44,73.69,0.2843,0.5238,0.54278,FAIM3
XP_004857641.1,ENSP00000461269,70.31,81.77,0.1836,0.3383,0.54257,SCIMP
XP_004853627.1,ENSP00000356590,67.04,80.46,0.204,0.3763,0.54222,AXDND1
XP_004864155.1,ENSP00000267415,75.45,83.85,0.1523,0.2812,0.54176,TINF2
XP_004921228.1,ENSP00000216274,62.05,73.96,0.2814,0.5201,0.54112,RIPK3
XP_004853157.1,ENSP00000422581,61.94,75.07,0.2676,0.4948,0.54078,TRIML2
XP_004869552.1,ENSP00000299665,60.48,74.6,0.2801,0.5181,0.54055,CLEC4D
XP_004842412.1,ENSP00000369962,57.81,71.78,0.3061,0.5663,0.54053,IGSF5
XP_004845886.1,ENSP00000228936,71.25,80.94,0.1881,0.3489,0.53927,ART4
XP_004873245.1,ENSP00000310966,63.87,76.58,0.2545,0.4723,0.53889,CD3EAP
XP_004856377.1,ENSP00000406047,70.22,80.39,0.2011,0.3733,0.53864,TSGA13
XP_004836555.1,ENSP00000274532,44.38,57.9,0.5755,1.0723,0.53667,TIMD4
XP_004847310.1,ENSP00000426809,61.78,74.08,0.2804,0.5237,0.53543,PROM1
XP_004854564.1,ENSP00000421655,61.43,71.35,0.3255,0.6086,0.53492,TCOF1
XP_004850020.1,ENSP00000367229,71.29,80.41,0.1931,0.3614,0.53438,CEP68
XP_004862439.1,ENSP00000248643,77.57,86.19,0.1318,0.2469,0.53401,MTERF
XP_004843550.1,ENSP00000383145,66.92,78.82,0.2266,0.4248,0.53352,SFI1
XP_004867768.1,ENSP00000298784,61.24,74.28,0.2803,0.5256,0.53334,FAM35A
XP_004857054.1,ENSP00000323300,77.31,85.18,0.1394,0.2614,0.53315,SPAG5
XP_004862348.1,ENSP00000334714,67.59,78.53,0.2213,0.4153,0.53295,IGFN1
XP_004854582.1,ENSP00000369312,62.36,73,0.2935,0.5511,0.53259,IL15RA
XP_004873130.1,ENSP00000269945,76.57,83.92,0.1509,0.2835,0.53224,DMRTC2
XP_004870457.1,ENSP00000468778,80.12,87.21,0.1188,0.2234,0.53186,PIGW
XP_004864074.1,ENSP00000358966,70.51,81.21,0.1852,0.3486,0.53139,IMPG1
XP_004844519.1,ENSP00000330959,61.87,73.48,0.2841,0.5348,0.53127,IL1R2
XP_004872612.1,ENSP00000361868,68.6,81.43,0.1919,0.3624,0.52944,ZMAT1
XP_004853204.1,ENSP00000382419,71.47,81.87,0.1805,0.3412,0.52891,CABYR
XP_004851211.1,ENSP00000236980,69.67,81.18,0.1883,0.356,0.52884,FASTKD2
XP_004863983.1,ENSP00000366729,60.39,72.94,0.2848,0.5387,0.52866,TNFRSF9
XP_004845940.1,ENSP00000302569,65.57,78.42,0.2199,0.4162,0.52832,CLEC7A
XP_004867878.1,ENSP00000389810,70.82,78.66,0.2156,0.4091,0.52709,DSN1
XP_004921183.1,ENSP00000319417,70.8,82.48,0.1718,0.3262,0.52651,SKA3
XP_004860490.1,ENSP00000255992,62.8,74.19,0.2737,0.5204,0.52585,KRBA1
XP_004840604.1,ENSP00000252034,59.02,62.49,0.5613,1.0679,0.52559,ELN
XP_004842008.1,ENSP00000400803,77.81,86.07,0.1257,0.2394,0.52483,LRRC69
XP_004871529.1,ENSP00000356713,58.79,71.87,0.3117,0.5962,0.52288,IFNGR1
XP_004836275.1,ENSP00000282611,65.4,79.04,0.226,0.4324,0.52277,CATSPER3
XP_004862028.1,ENSP00000280200,58.97,73.25,0.2931,0.5608,0.52256,CD226
XP_004859103.1,ENSP00000334940,68.79,78.88,0.2168,0.4149,0.52253,GGN
XP_004851365.1,ENSP00000449999,70.81,81.98,0.1776,0.3402,0.52186,CLEC5A
XP_004851478.1,ENSP00000256178,72.81,81.46,0.1798,0.3449,0.52122,LYVE1
XP_004864373.1,ENSP00000378167,74.89,84.79,0.1497,0.2873,0.52099,CCDC66
XP_004860690.1,ENSP00000301587,67.92,73.58,0.2904,0.5576,0.52082,ATP5H
XP_004857283.1,ENSP00000325290,71.98,82.27,0.1706,0.3278,0.52058,GSG2
XP_004864933.1,ENSP00000379808,67.07,80.19,0.2048,0.3934,0.52057,ATF7IP2
XP_004856391.1,ENSP00000297819,64.53,76.92,0.2409,0.4646,0.5186,SSMEM1
XP_004853371.1,ENSP00000304908,58.85,74.22,0.2949,0.5697,0.51763,TXNDC2
XP_004835791.1,ENSP00000333919,67.6,78.28,0.219,0.424,0.51664,BTLA
XP_004854702.1,ENSP00000403208,61.5,74.53,0.2685,0.5205,0.51587,MAP10
XP_004853003.1,ENSP00000389427,68.66,80.29,0.2034,0.3944,0.5157,CEP44
XP_004838442.1,ENSP00000369176,75.78,83.85,0.1566,0.3037,0.51555,NDUFB6
XP_004841145.1,ENSP00000309521,50.19,62.91,0.4699,0.9118,0.51535,LIME1
XP_004870735.1,ENSP00000333779,74.77,84.16,0.1577,0.3063,0.51495,EVI2B
XP_004858088.1,ENSP00000379290,70.64,80.31,0.1959,0.3808,0.51451,BCAS1
XP_004852625.1,ENSP00000367050,78.52,85.98,0.1315,0.2558,0.51421,RTN3
XP_004859014.1,ENSP00000316130,70.6,80.57,0.1943,0.3781,0.51376,SYNE4
XP_004835884.1,ENSP00000419485,50.84,66.11,0.3941,0.7704,0.51157,GCSAM
XP_004853717.1,ENSP00000327513,72.94,82.82,0.1648,0.3227,0.51088,CSF1
XP_004873065.1,ENSP00000472467,80.67,86.55,0.1216,0.2381,0.51041,CXCL17
XP_004852700.1,ENSP00000313881,66.07,77.31,0.2303,0.4515,0.51004,MKRN3
XP_004837563.1,ENSP00000220676,70.48,82.61,0.1742,0.3416,0.50986,RP1
XP_004851354.1,ENSP00000380675,62.4,70.87,0.3179,0.6236,0.50969,WEE2
XP_004847747.1,ENSP00000229583,68.3,78.87,0.2154,0.4231,0.50916,ADTRP
XP_004835478.1,ENSP00000321463,60.2,73.59,0.2851,0.5603,0.50896,CATSPER2
XP_004868060.1,ENSP00000351671,73.96,82.29,0.1719,0.3379,0.50892,CCL20
XP_004873660.1,ENSP00000296161,68.8,79.06,0.2085,0.4097,0.50883,DTX3L
XP_004834985.1,ENSP00000265598,63.94,74.12,0.2707,0.532,0.50875,LAMP3
XP_004836364.1,ENSP00000366434,84.55,90.45,0.084,0.1652,0.50858,UIMC1
XP_004870675.1,ENSP00000302234,71.13,81.1,0.188,0.3706,0.50729,CCL11
XP_004851133.1,ENSP00000353670,64.85,76.1,0.2515,0.4962,0.50681,SPOCD1
XP_004868026.1,ENSP00000364603,60.63,71.95,0.3222,0.6361,0.50656,BPIFA3
XP_004842486.1,ENSP00000346196,56.32,67.41,0.3678,0.7263,0.50646,NDUFV3
XP_004849281.1,ENSP00000454407,20.69,41.31,1.7474,3.4523,0.50615,GOLGA6L2
XP_004851493.1,ENSP00000256186,64.46,74.74,0.2602,0.5145,0.50574,MICALCL
XP_004838317.1,ENSP00000370842,62.74,74.78,0.2701,0.535,0.50484,IL33
XP_004846730.1,ENSP00000362778,63.46,76.73,0.2425,0.4807,0.50456,PI16
XP_004859866.1,ENSP00000320184,77.47,83.33,0.1562,0.3099,0.50406,MRPS23
XP_004862458.1,ENSP00000384370,67.75,75.35,0.2566,0.5095,0.50358,STEAP1B
XP_004870282.1,ENSP00000394770,70.31,81.03,0.1901,0.3775,0.50346,CMYA5
XP_004870214.1,ENSP00000259608,78.57,86.22,0.1272,0.2529,0.50282,SIT1
XP_004834666.1,ENSP00000341765,81.37,88.81,0.1013,0.2017,0.5023,SPATA16
XP_004869083.1,ENSP00000360028,73.87,83.33,0.1611,0.3207,0.50226,GSTA5
XP_004849535.1,ENSP00000363089,71.89,79.55,0.2004,0.3998,0.50123,TLR4
XP_004834882.1,ENSP00000232003,66.14,78.08,0.2199,0.4391,0.5008,HRG
XP_004837058.1,ENSP00000337133,69.47,79.25,0.2102,0.4202,0.50012,SERPINA9
XP_004861586.1,ENSP00000280236,73.32,83.42,0.1633,0.327,0.49925,FSIP1
XP_004856625.1,ENSP00000280350,78.1,86.35,0.1268,0.2541,0.49908,PIH1D2
XP_004861816.1,ENSP00000367462,62.26,75.22,0.2617,0.5245,0.49906,OLAH
XP_004849960.1,ENSP00000272367,67.51,78.22,0.2225,0.4463,0.49862,CLEC4F
XP_004849840.1,ENSP00000332772,79.69,87.24,0.1137,0.2285,0.49749,YIPF7
XP_004842844.1,ENSP00000199936,60.69,72.64,0.2896,0.5827,0.49705,HSD17B2
XP_004862234.1,ENSP00000406970,65.4,78.54,0.2146,0.4319,0.49692,LAX1
XP_004865125.1,ENSP00000333358,70.83,82.25,0.1705,0.3431,0.49687,RNASE10
XP_004861654.1,ENSP00000220514,71.93,82.02,0.1714,0.3454,0.4963,OIP5
XP_004835820.1,ENSP00000355361,75.7,82.97,0.1654,0.3336,0.49585,CD47
XP_004853158.1,ENSP00000262102,69.52,79.74,0.2018,0.4073,0.49543,MTUS1
XP_004837538.1,ENSP00000256343,71.83,81.1,0.1885,0.3809,0.49485,CATSPERB
XP_004859341.1,ENSP00000418960,59.13,73.56,0.2841,0.5744,0.49465,BRCA1
XP_004844527.1,ENSP00000387211,69.13,78.99,0.2112,0.4277,0.49373,IL18R1
XP_004848736.1,ENSP00000231009,75,81.67,0.1746,0.354,0.49338,GZMK
