SEQ1,SEQ2,PROT_PERCENTID,CDNA_PERCENTID,Ka,Ks,Ka/Ks,Associated Gene Name
XP_004858228.1,ENSMUSP00000104992,52.67,66.92,0.3801,0.741,0.51299,Slpi
XP_004853627.1,ENSMUSP00000137354,52.6,69.27,0.361,0.7066,0.51091,Axdnd1
XP_004845928.1,ENSMUSP00000038346,55.94,68.98,0.3393,0.6661,0.50943,Mansc1
XP_004848421.1,ENSMUSP00000127571,50.32,65.27,0.4075,0.8001,0.50931,Cdca2
XP_004859341.1,ENSMUSP00000017290,50.26,65.44,0.4122,0.8115,0.5079,Brca1
XP_004841581.1,ENSMUSP00000117153,63.43,77.52,0.2446,0.4817,0.5077,Itgb3bp
XP_004869721.1,ENSMUSP00000036772,61.97,72.74,0.2908,0.5728,0.50763,Gdpd4
XP_004862409.1,ENSMUSP00000033465,42.32,57.43,0.5534,1.0921,0.50668,Vgll1
XP_004851133.1,ENSMUSP00000081284,58.84,71.8,0.3175,0.6276,0.5059,Spocd1
XP_004843061.1,ENSMUSP00000038188,67.19,75.52,0.2485,0.4915,0.50564,Cenpt
XP_004858528.1,ENSMUSP00000108326,50,66.02,0.398,0.7872,0.50562,Serpinb8
XP_004848626.1,ENSMUSP00000069457,68.04,79.48,0.2045,0.4046,0.50532,Ghr
XP_004862097.1,ENSMUSP00000016638,63.44,74.46,0.2664,0.5276,0.50489,Cd34
XP_004868339.1,ENSMUSP00000129611,52.06,68.81,0.3779,0.7502,0.50379,Ubtfl1
XP_004863089.1,ENSMUSP00000035389,62.73,72.41,0.2917,0.5792,0.50365,Troap
XP_004858299.1,ENSMUSP00000017911,78.9,85.02,0.1345,0.2673,0.50324,Spata25
XP_004841427.1,ENSMUSP00000029836,65.82,76.46,0.2398,0.4766,0.50317,Dnase2b
XP_004870061.1,ENSMUSP00000099829,55.1,70.26,0.333,0.6628,0.50246,Rbm43
XP_004857547.1,ENSMUSP00000112063,66.86,76.19,0.2395,0.4767,0.50238,Ctc1
XP_004850087.1,ENSMUSP00000037358,65.44,77.79,0.2325,0.4631,0.50213,Rpgr
XP_004857380.1,ENSMUSP00000073311,62.95,75.89,0.2465,0.4909,0.50205,Inca1
XP_004873132.1,ENSMUSP00000077150,50.21,63.55,0.427,0.8531,0.50052,Tex101
XP_004868026.1,ENSMUSP00000028984,62.14,75.4,0.2636,0.5271,0.50018,Bpifa3
XP_004838309.1,ENSMUSP00000025719,72.57,78.47,0.213,0.426,0.50012,Mlana
XP_004873006.1,ENSMUSP00000030465,72.27,79.69,0.2013,0.4024,0.50011,Tspan1
XP_004862017.1,ENSMUSP00000045925,57.03,71.7,0.3077,0.6159,0.49954,Fbxo15
XP_004853431.1,ENSMUSP00000114092,61.66,75.82,0.2741,0.5509,0.4976,Tex35
XP_004872612.1,ENSMUSP00000066815,55.92,74.01,0.2947,0.5922,0.49759,Zmat1
XP_004853204.1,ENSMUSP00000111523,43.8,56.2,0.6112,1.2311,0.49644,Cabyr
XP_004860586.1,ENSMUSP00000059371,56.9,68.28,0.3609,0.7275,0.49611,Gimap6
XP_004858762.1,ENSMUSP00000015460,59.88,72.66,0.2912,0.5873,0.49591,Slamf1
XP_004856374.1,ENSMUSP00000026698,48,57.93,0.5463,1.1032,0.49519,Podxl
XP_004843295.1,ENSMUSP00000067324,70.64,81.81,0.1823,0.3681,0.49518,Ccdc79
XP_004848684.1,ENSMUSP00000003981,58.86,72.57,0.2965,0.5989,0.49517,Il7r
XP_004866361.1,ENSMUSP00000112603,43.67,54.44,0.7183,1.4521,0.49463,Emcn
XP_004834586.1,ENSMUSP00000029345,54.24,68.22,0.3543,0.7165,0.4945,Il12a
XP_004855514.1,ENSMUSP00000009772,54.54,72.34,0.3256,0.6586,0.49435,Tex15
XP_004869512.1,ENSMUSP00000024270,68.08,78.08,0.2132,0.4316,0.494,Cdca3
XP_004867812.1,ENSMUSP00000022316,57.04,71.6,0.3408,0.6899,0.49398,Dydc2
XP_004856639.1,ENSMUSP00000137193,59.47,71.93,0.3218,0.652,0.4936,Il18
XP_004868576.1,ENSMUSP00000054263,44.38,59.98,0.5017,1.0166,0.49349,Hjurp
XP_004859208.1,ENSMUSP00000129031,52.03,64.7,0.4341,0.8814,0.49249,Dmkn
XP_004872885.1,ENSMUSP00000074988,67.33,78,0.2384,0.4845,0.49213,Cenph
XP_004853542.1,ENSMUSP00000027769,49.74,63.85,0.4287,0.8714,0.49196,Tfb2m
XP_004865089.1,ENSMUSP00000098203,72.06,81.05,0.1842,0.3751,0.49121,Tmem253
XP_004868102.1,ENSMUSP00000050509,46.39,58.76,0.57,1.164,0.48971,Spata3
XP_004860464.1,ENSMUSP00000128705,58.02,68.96,0.347,0.7115,0.48764,Tmem176b
XP_004844803.1,ENSMUSP00000066493,61.07,73.15,0.2766,0.5676,0.48732,Mrpl35
XP_004864074.1,ENSMUSP00000108876,62.27,74.41,0.2625,0.5401,0.48604,Impg1
XP_004862348.1,ENSMUSP00000129680,61.78,73.16,0.2865,0.59,0.48555,Igfn1
XP_004854993.1,ENSMUSP00000029275,54.61,67.11,0.389,0.8021,0.48495,Il2
XP_004841982.1,ENSMUSP00000104454,40,56.47,0.5983,1.2346,0.48463,Lypd8
XP_004851845.1,ENSMUSP00000091954,58.49,70.13,0.3333,0.6881,0.48437,Mrgprx1
XP_004871783.1,ENSMUSP00000031222,63.41,76.5,0.2463,0.5091,0.48369,Enam
XP_004872167.1,ENSMUSP00000053690,56.73,71.39,0.3135,0.6486,0.4834,Sh2d7
XP_004862028.1,ENSMUSP00000043551,54.98,69.08,0.3454,0.7166,0.48198,Cd226
XP_004854821.1,ENSMUSP00000038576,56.25,71.94,0.3207,0.6657,0.48169,Brca2
XP_004853869.1,ENSMUSP00000029456,50.15,65.3,0.4083,0.8483,0.48131,Cd2
XP_004854981.1,ENSMUSP00000109874,65.38,75.8,0.2762,0.5745,0.48084,Tnip3
XP_004848645.1,ENSMUSP00000022746,56.26,69.46,0.3362,0.7025,0.47858,Osmr
XP_004834884.1,ENSMUSP00000023587,68.73,75.83,0.2431,0.5083,0.47828,Fetub
XP_004836128.1,ENSMUSP00000027639,65.28,73.94,0.2728,0.5704,0.47823,Marco
XP_004921266.1,ENSMUSP00000111359,57.87,67.85,0.3579,0.749,0.4779,Magix
XP_004835217.1,ENSMUSP00000040882,51.14,63.76,0.4287,0.8976,0.47764,Fam194a
XP_004856739.1,ENSMUSP00000034594,54.1,67.07,0.3801,0.796,0.47753,Il10ra
XP_004858424.1,ENSMUSP00000025691,48.77,63.91,0.4468,0.9366,0.47709,Fas
XP_004859201.1,ENSMUSP00000130936,60.39,71.82,0.2935,0.6155,0.47689,Fcrl1
XP_004851211.1,ENSMUSP00000027103,66.76,77.31,0.2278,0.4785,0.47605,Fastkd2
XP_004873064.1,ENSMUSP00000113025,36.62,52.02,0.6883,1.4471,0.47562,Psg16
XP_004856571.1,ENSMUSP00000062632,57.33,72.09,0.3037,0.6394,0.475,Exph5
XP_004872632.1,ENSMUSP00000009740,56.94,72.9,0.3137,0.6607,0.47487,Taf7l
XP_004834010.1,ENSMUSP00000060405,59.09,72.12,0.2934,0.6186,0.47426,Ucn2
XP_004841277.1,ENSMUSP00000102075,78.28,84.64,0.1398,0.295,0.47408,Rwdd3
XP_004848728.1,ENSMUSP00000053775,51.61,67.74,0.3727,0.7869,0.47364,Gapt
XP_004854755.1,ENSMUSP00000028111,53.93,69.79,0.3338,0.7052,0.4733,Il2ra
XP_004858205.1,ENSMUSP00000099385,66.15,75.13,0.2478,0.524,0.47295,Wfdc3
XP_004856007.1,ENSMUSP00000095675,59.94,72.89,0.2898,0.6134,0.4724,Palb2
XP_004842105.1,ENSMUSP00000135483,64.82,75.1,0.2459,0.5208,0.4722,Tmem70
XP_004865202.1,ENSMUSP00000036380,69.39,78.72,0.2038,0.4322,0.47149,Fcrla
XP_004837248.1,ENSMUSP00000135881,64.82,74.99,0.2532,0.5376,0.47106,Prox2
XP_004848994.1,ENSMUSP00000128741,17.36,33.84,1.8575,3.9432,0.47106,Egfl7
XP_004863290.1,ENSMUSP00000045222,66.75,77.11,0.2229,0.4737,0.47046,Neu3
XP_004859014.1,ENSMUSP00000055874,65.12,75.45,0.2501,0.5324,0.46976,Syne4
XP_004856207.1,ENSMUSP00000049534,49.74,60.47,0.4995,1.0675,0.46791,Spn
XP_004854281.1,ENSMUSP00000129781,68.36,77.7,0.2218,0.4752,0.46678,Il5ra
XP_004874658.1,ENSMUSP00000052283,63.39,74.2,0.2701,0.5792,0.46639,Lamp2
XP_004849614.1,ENSMUSP00000081578,73.76,79.91,0.2002,0.4301,0.46546,Slc31a2
XP_004838387.1,ENSMUSP00000070504,64.73,77.68,0.2265,0.4867,0.46544,Haus6
XP_004861452.1,ENSMUSP00000050300,56.47,68.66,0.3391,0.7309,0.46391,Apof
XP_004861777.1,ENSMUSP00000028665,53.78,66.48,0.3924,0.8459,0.46389,Patl2
XP_004872907.1,ENSMUSP00000038321,57.5,71.85,0.3228,0.6958,0.46389,Bdp1
XP_004866319.1,ENSMUSP00000077644,64.44,71.91,0.2924,0.6304,0.46386,Slc9b1
XP_004853157.1,ENSMUSP00000132971,57.78,71.62,0.3,0.6471,0.46366,Triml2
XP_004847567.1,ENSMUSP00000128473,60.51,71.9,0.2952,0.6368,0.46362,Clnk
XP_004871187.1,ENSMUSP00000064385,57.3,72.28,0.3297,0.7113,0.46358,S100a8
XP_004836655.1,ENSMUSP00000104641,59.18,70.33,0.3258,0.7033,0.46323,Shroom1
XP_004862742.1,ENSMUSP00000031674,48.91,63.03,0.4287,0.9262,0.46291,Tfpi2
XP_004854564.1,ENSMUSP00000135639,59.6,68.82,0.3586,0.7749,0.46269,Tcof1
XP_004871583.1,ENSMUSP00000042642,61.14,74.24,0.2577,0.5579,0.46195,Il22ra2
XP_004871529.1,ENSMUSP00000020188,51.19,63.7,0.4271,0.9259,0.46124,Ifngr1
XP_004844394.1,ENSMUSP00000028854,49.67,57.95,0.5748,1.2467,0.46102,Mal
XP_004851365.1,ENSMUSP00000121848,66.84,78.42,0.2139,0.4645,0.46052,Clec5a
XP_004858405.1,ENSMUSP00000093825,64.34,74.94,0.2511,0.5482,0.45813,Rnls
XP_004875253.1,ENSMUSP00000033539,67.49,77.99,0.2187,0.4775,0.45791,F8
XP_004865330.1,ENSMUSP00000049054,62.14,75.16,0.2709,0.5917,0.4578,Ppp1r3a
XP_004842102.1,ENSMUSP00000026881,65.63,76.67,0.2329,0.5094,0.45707,Ly96
XP_004849960.1,ENSMUSP00000014686,57,69.95,0.3412,0.7471,0.45672,Clec4f
XP_004857641.1,ENSMUSP00000104174,60.42,75.46,0.2499,0.5487,0.45547,Scimp
XP_004862570.1,ENSMUSP00000029915,61.54,70.94,0.3182,0.6988,0.45544,Tstd3
XP_004873660.1,ENSMUSP00000080601,57.4,69.06,0.3357,0.7381,0.45487,Dtx3l
XP_004871520.1,ENSMUSP00000041963,56.54,67.44,0.3884,0.854,0.45476,Muc1
XP_004836821.1,ENSMUSP00000022019,59.72,70.83,0.315,0.6934,0.45434,Il9
XP_004834879.1,ENSMUSP00000023589,55.76,67.53,0.3625,0.7983,0.45411,Kng1
XP_004872736.1,ENSMUSP00000036845,73.89,81.4,0.172,0.379,0.45395,Dgat2l6
XP_004874520.1,ENSMUSP00000002011,66.49,75,0.2435,0.5369,0.45349,Esam
XP_004844945.1,ENSMUSP00000020149,28.82,46.97,0.9192,2.0287,0.45308,Ikbip
XP_004841032.1,ENSMUSP00000029030,66.67,76.5,0.2298,0.5072,0.45294,Edn3
XP_004835884.1,ENSMUSP00000123853,43.65,60.22,0.5007,1.1059,0.45277,Gcsam
XP_004834114.1,ENSMUSP00000035216,72.88,80.28,0.1854,0.4103,0.45177,Uba7
XP_004836555.1,ENSMUSP00000069456,46.2,59.55,0.5134,1.1391,0.45068,Timd4
XP_004837925.1,ENSMUSP00000023260,32.8,46.13,0.8987,1.9976,0.44991,Lypd2
XP_004854171.1,ENSMUSP00000102921,56.48,68.22,0.3772,0.8411,0.44849,Crnn
XP_004869645.1,ENSMUSP00000037000,51.88,63.94,0.407,0.9091,0.44773,Mcph1
XP_004844356.1,ENSMUSP00000022574,43.56,56.82,0.559,1.2489,0.44759,Lrrc63
XP_004858306.1,ENSMUSP00000035824,62.1,72.31,0.3024,0.6758,0.44752,Wfdc5
XP_004855913.1,ENSMUSP00000023140,63.54,72.93,0.2735,0.6115,0.44731,Tnfrsf17
XP_004849562.1,ENSMUSP00000041614,58.07,70.6,0.3175,0.7101,0.44704,Akna
XP_004845946.1,ENSMUSP00000032265,59.04,70.36,0.3167,0.7086,0.44689,Olr1
XP_004867840.1,ENSMUSP00000067837,51.04,67.22,0.3929,0.8793,0.44684,Bpi
XP_004837563.1,ENSMUSP00000027032,59.53,73.77,0.2831,0.6338,0.44671,Rp1
XP_004841701.1,ENSMUSP00000105173,58.67,71.79,0.3006,0.6738,0.44613,Vcan
XP_004862887.1,ENSMUSP00000083385,61.04,71.07,0.3146,0.7054,0.44604,Rnasel
XP_004862492.1,ENSMUSP00000060218,71.74,77.29,0.2189,0.491,0.44586,Idnk
XP_004858302.1,ENSMUSP00000104959,48.65,63.06,0.4434,0.9967,0.44483,Wfdc9
XP_004849649.1,ENSMUSP00000028283,39.46,58.38,0.5764,1.2963,0.44463,Lcn4
XP_004846229.1,ENSMUSP00000114652,55.58,69.35,0.3295,0.7417,0.44432,Stox1
XP_004853356.1,ENSMUSP00000041061,56.31,67.58,0.3549,0.7998,0.44377,Hrh4
XP_004869786.1,ENSMUSP00000119518,55.35,68.81,0.3479,0.7841,0.44366,Fam111a
XP_004865049.1,ENSMUSP00000093613,61.59,72.63,0.281,0.6339,0.44331,Rnase6
XP_004866998.1,ENSMUSP00000136199,33.79,50.28,0.8111,1.8316,0.44282,Slc6a16
XP_004852736.1,ENSMUSP00000112404,62.65,72.6,0.2798,0.6324,0.44238,Lins
XP_004869595.1,ENSMUSP00000032207,53.72,67.55,0.3646,0.8243,0.44237,Klrg1
XP_004921223.1,ENSMUSP00000067516,71.65,80.7,0.1883,0.4268,0.44119,Swt1
XP_004848522.1,ENSMUSP00000099961,57.94,67.6,0.3661,0.8311,0.44055,Txndc8
XP_004839194.1,ENSMUSP00000110422,63.97,73.63,0.2721,0.6183,0.44017,Gpr113
XP_004870137.1,ENSMUSP00000021818,67.13,77.27,0.2196,0.4997,0.43954,Cenpp
XP_004871060.1,ENSMUSP00000107806,65.63,77.18,0.2264,0.5153,0.43934,Tceanc
XP_004871113.1,ENSMUSP00000033711,62.72,73.64,0.2731,0.622,0.43901,Gabrq
XP_004856755.1,ENSMUSP00000002101,68.13,78.75,0.2069,0.4713,0.43897,Cd3g
XP_004857283.1,ENSMUSP00000055806,66.44,75.67,0.2359,0.5383,0.43816,Gsg2
XP_004837175.1,ENSMUSP00000125341,61.26,75.38,0.2598,0.5933,0.43788,Slirp
XP_004868003.1,ENSMUSP00000028985,69.96,75.89,0.2359,0.5388,0.43784,Bpifa1
XP_004871975.1,ENSMUSP00000132114,63.31,75.4,0.2464,0.5641,0.43676,Ccdc24
XP_004846234.1,ENSMUSP00000125622,57.24,69.96,0.3198,0.7328,0.43637,Srgn
